transaction_id,sale_id,line
AAA118265,1,Verchecco
AAA118265,2,Ocly
AAA118266,1,Verchecco
AAA118267,1,Ocly
AAA118268,1,Ocly
AAA118269,1,Verchecco
AAA118270,1,Verchecco
AAA118271,1,Piaris
AAA118271,2,Ocly
AAA118271,3,Verchecco
AAA118272,1,Ocly
AAA118273,1,Ocly
AAA118273,2,Verchecco
AAA118273,3,Ocly
AAA118274,1,Piaris
AAA118275,1,Verchecco
AAA118276,1,Verchecco
AAA118277,1,Ocly
AAA118277,2,Ocly
AAA118278,1,Ocly
AAA118279,1,Verchecco
AAA118280,1,Ocly
AAA118280,2,Piaris
AAA118281,1,Piaris
AAA118282,1,Verchecco
AAA118283,1,Ocly
AAA118284,1,Verchecco
AAA118284,2,Ocly
AAA118284,3,Ocly
AAA118285,1,Ocly
AAA118286,1,Piaris
AAA118286,2,Verchecco
AAA118286,3,Ocly
AAA118286,4,Ocly
AAA118287,1,Ocly
AAA118287,2,Piaris
AAA118287,3,Verchecco
AAA118287,4,Piaris
AAA118287,5,Piaris
AAA118288,1,Ocly
AAA118289,1,Verchecco
AAA118290,1,Ocly
AAA118290,2,Ocly
AAA118291,1,Ocly
AAA118292,1,Piaris
AAA118292,2,Piaris
AAA118292,3,Ocly
AAA118293,1,Verchecco
AAA118294,1,Ocly
AAA118295,1,Piaris
AAA118295,2,Ocly
AAA118295,3,Verchecco
AAA118296,1,Piaris
AAA118296,2,Verchecco
AAA118297,1,Ocly
AAA118298,1,Verchecco
AAA118299,1,Ocly
AAA118300,1,Ocly
AAA118301,1,Piaris
AAA118302,1,Verchecco
AAA118302,2,Verchecco
AAA118302,3,Piaris
AAA118303,1,Verchecco
AAA118304,1,Verchecco
AAA118304,2,Piaris
AAA118304,3,Piaris
AAA118305,1,Ocly
AAA118306,1,Ocly
AAA118307,1,Ocly
AAA118308,1,Ocly
AAA118309,1,Ocly
AAA118310,1,Verchecco
AAA118311,1,Ocly
AAA118311,2,Verchecco
AAA118311,3,Piaris
AAA118311,4,Ocly
AAA118311,5,Piaris
AAA118312,1,Verchecco
AAA118313,1,Piaris
AAA118313,2,Verchecco
AAA118313,3,Ocly
AAA118314,1,Ocly
AAA118315,1,Ocly
AAA118316,1,Ocly
AAA118317,1,Ocly
AAA118318,1,Verchecco
AAA118318,2,Ocly
AAA118318,3,Piaris
AAA118319,1,Piaris
AAA118319,2,Ocly
AAA118319,3,Ocly
AAA118320,1,Verchecco
AAA118321,1,Piaris
AAA118321,2,Ocly
AAA118321,3,Ocly
AAA118322,1,Verchecco
AAA118322,2,Ocly
AAA118322,3,Piaris
AAA118323,1,Ocly
AAA118324,1,Ocly
AAA118325,1,Ocly
AAA118326,1,Piaris
AAA118327,1,Verchecco
AAA118328,1,Ocly
AAA118329,1,Ocly
AAA118330,1,Verchecco
AAA118331,1,Ocly
AAA118332,1,Piaris
AAA118333,1,Verchecco
AAA118334,1,Piaris
AAA118334,2,Ocly
AAA118334,3,Piaris
AAA118335,1,Verchecco
AAA118336,1,Piaris
AAA118337,1,Ocly
AAA118338,1,Ocly
AAA118339,1,Verchecco
AAA118340,1,Verchecco
AAA118341,1,Ocly
AAA118341,2,Piaris
AAA118341,3,Ocly
AAA118342,1,Ocly
AAA118342,2,Ocly
AAA118343,1,Ocly
AAA118343,2,Ocly
AAA118343,3,Piaris
AAA118343,4,Verchecco
AAA118344,1,Ocly
AAA118345,1,Ocly
AAA118346,1,Ocly
AAA118346,2,Verchecco
AAA118346,3,Piaris
AAA118347,1,Piaris
AAA118347,2,Verchecco
AAA118347,3,Piaris
AAA118348,1,Ocly
AAA118349,1,Ocly
AAA118349,2,Ocly
AAA118350,1,Piaris
AAA118351,1,Piaris
AAA118351,2,Piaris
AAA118351,3,Piaris
AAA118352,1,Verchecco
AAA118353,1,Ocly
AAA118354,1,Piaris
AAA118355,1,Verchecco
AAA118355,2,Ocly
AAA118355,3,Ocly
AAA118356,1,Piaris
AAA118356,2,Ocly
AAA118356,3,Verchecco
AAA118357,1,Ocly
AAA118358,1,Verchecco
AAA118359,1,Ocly
AAA118360,1,Verchecco
AAA118361,1,Piaris
AAA118362,1,Verchecco
AAA118363,1,Ocly
AAA118363,2,Piaris
AAA118364,1,Piaris
AAA118365,1,Verchecco
AAA118366,1,Ocly
AAA118366,2,Verchecco
AAA118367,1,Ocly
AAA118367,2,Verchecco
AAA118368,1,Piaris
AAA118369,1,Piaris
AAA118370,1,Ocly
AAA118371,1,Verchecco
AAA118371,2,Ocly
AAA118372,1,Ocly
AAA118373,1,Ocly
AAA118373,2,Ocly
AAA118373,3,Verchecco
AAA118374,1,Ocly
AAA118374,2,Verchecco
AAA118374,3,Piaris
AAA118375,1,Ocly
AAA118375,2,Verchecco
AAA118375,3,Ocly
AAA118376,1,Verchecco
AAA118377,1,Ocly
AAA118378,1,Ocly
AAA118379,1,Ocly
AAA118379,2,Ocly
AAA118379,3,Piaris
AAA118380,1,Verchecco
AAA118380,2,Piaris
AAA118380,3,Verchecco
AAA118381,1,Piaris
AAA118382,1,Verchecco
AAA118383,1,Ocly
AAA118384,1,Ocly
AAA118385,1,Piaris
AAA118386,1,Ocly
AAA118386,2,Verchecco
AAA118386,3,Piaris
AAA118387,1,Verchecco
AAA118387,2,Ocly
AAA118387,3,Piaris
AAA118388,1,Verchecco
AAA118389,1,Piaris
AAA118390,1,Ocly
AAA118391,1,Ocly
AAA118392,1,Verchecco
AAA118393,1,Ocly
AAA118394,1,Verchecco
AAA118395,1,Piaris
AAA118395,2,Verchecco
AAA118396,1,Verchecco
AAA118396,2,Verchecco
AAA118396,3,Ocly
AAA118397,1,Verchecco
AAA118397,2,Verchecco
AAA118397,3,Piaris
AAA118398,1,Ocly
AAA118399,1,Ocly
AAA118400,1,Verchecco
AAA118400,2,Piaris
AAA118401,1,Verchecco
AAA118402,1,Ocly
AAA118403,1,Ocly
AAA118404,1,Verchecco
AAA118405,1,Ocly
AAA118405,2,Ocly
AAA118405,3,Verchecco
AAA118406,1,Ocly
AAA118407,1,Ocly
AAA118408,1,Ocly
AAA118408,2,Verchecco
AAA118408,3,Piaris
AAA118409,1,Verchecco
AAA118409,2,Piaris
AAA118409,3,Verchecco
AAA118410,1,Piaris
AAA118410,2,Verchecco
AAA118410,3,Ocly
AAA118411,1,Ocly
AAA118411,2,Verchecco
AAA118411,3,Piaris
AAA118412,1,Piaris
AAA118413,1,Ocly
AAA118414,1,Verchecco
AAA118415,1,Piaris
AAA118415,2,Verchecco
AAA118415,3,Ocly
AAA118416,1,Verchecco
AAA118416,2,Ocly
AAA118416,3,Verchecco
AAA118417,1,Ocly
AAA118418,1,Verchecco
AAA118419,1,Verchecco
AAA118420,1,Piaris
AAA118420,2,Ocly
AAA118421,1,Verchecco
AAA118421,2,Piaris
AAA118422,1,Ocly
AAA118422,2,Ocly
AAA118422,3,Ocly
AAA118423,1,Ocly
AAA118423,2,Verchecco
AAA118424,1,Ocly
AAA118425,1,Verchecco
AAA118426,1,Ocly
AAA118427,1,Piaris
AAA118428,1,Ocly
AAA118429,1,Piaris
AAA118429,2,Piaris
AAA118429,3,Ocly
AAA118429,4,Verchecco
AAA118429,5,Piaris
AAA118430,1,Verchecco
AAA118431,1,Verchecco
AAA118432,1,Ocly
AAA118433,1,Verchecco
AAA118434,1,Verchecco
AAA118435,1,Piaris
AAA118435,2,Piaris
AAA118435,3,Ocly
AAA118436,1,Verchecco
AAA118436,2,Piaris
AAA118436,3,Verchecco
AAA118436,4,Piaris
AAA118437,1,Verchecco
AAA118438,1,Verchecco
AAA118439,1,Verchecco
AAA118440,1,Ocly
AAA118440,2,Ocly
AAA118440,3,Piaris
AAA118441,1,Verchecco
AAA118442,1,Ocly
AAA118443,1,Ocly
AAA118444,1,Ocly
AAA118444,2,Ocly
AAA118444,3,Verchecco
AAA118445,1,Piaris
AAA118445,2,Ocly
AAA118446,1,Verchecco
AAA118446,2,Ocly
AAA118446,3,Piaris
AAA118447,1,Ocly
AAA118448,1,Verchecco
AAA118448,2,Ocly
AAA118448,3,Piaris
AAA118449,1,Ocly
AAA118450,1,Verchecco
AAA118450,2,Piaris
AAA118450,3,Ocly
AAA118451,1,Piaris
AAA118451,2,Verchecco
AAA118452,1,Ocly
AAA118453,1,Ocly
AAA118454,1,Ocly
AAA118455,1,Piaris
AAA118456,1,Piaris
AAA118457,1,Ocly
AAA118458,1,Ocly
AAA118459,1,Ocly
AAA118460,1,Piaris
AAA118461,1,Ocly
AAA118462,1,Ocly
AAA118462,2,Ocly
AAA118463,1,Ocly
AAA118463,2,Piaris
AAA118463,3,Ocly
AAA118464,1,Ocly
AAA118465,1,Ocly
AAA118466,1,Piaris
AAA118467,1,Ocly
AAA118468,1,Verchecco
AAA118469,1,Piaris
AAA118470,1,Verchecco
AAA118470,2,Ocly
AAA118470,3,Piaris
AAA118471,1,Verchecco
AAA118471,2,Ocly
AAA118471,3,Piaris
AAA118472,1,Verchecco
AAA118473,1,Ocly
AAA118473,2,Piaris
AAA118474,1,Ocly
AAA118475,1,Piaris
AAA118476,1,Ocly
AAA118477,1,Piaris
AAA118477,2,Ocly
AAA118478,1,Piaris
AAA118478,2,Piaris
AAA118478,3,Piaris
AAA118479,1,Verchecco
AAA118479,2,Verchecco
AAA118480,1,Ocly
AAA118480,2,Ocly
AAA118480,3,Piaris
AAA118480,4,Verchecco
AAA118481,1,Ocly
AAA118482,1,Ocly
AAA118482,2,Piaris
AAA118482,3,Ocly
AAA118483,1,Ocly
AAA118484,1,Ocly
AAA118485,1,Verchecco
AAA118486,1,Ocly
AAA118487,1,Verchecco
AAA118488,1,Piaris
AAA118488,2,Verchecco
AAA118488,3,Ocly
AAA118488,4,Piaris
AAA118489,1,Ocly
AAA118489,2,Ocly
AAA118490,1,Piaris
AAA118491,1,Piaris
AAA118491,2,Verchecco
AAA118491,3,Piaris
AAA118492,1,Ocly
AAA118493,1,Piaris
AAA118494,1,Ocly
AAA118495,1,Piaris
AAA118495,2,Verchecco
AAA118496,1,Verchecco
AAA118497,1,Piaris
AAA118497,2,Ocly
AAA118497,3,Piaris
AAA118498,1,Verchecco
AAA118499,1,Piaris
AAA118500,1,Ocly
AAA118501,1,Piaris
AAA118501,2,Piaris
AAA118501,3,Verchecco
AAA118502,1,Ocly
AAA118503,1,Verchecco
AAA118504,1,Ocly
AAA118505,1,Ocly
AAA118505,2,Ocly
AAA118506,1,Ocly
AAA118506,2,Ocly
AAA118507,1,Ocly
AAA118507,2,Verchecco
AAA118507,3,Ocly
AAA118508,1,Verchecco
AAA118509,1,Piaris
AAA118509,2,Verchecco
AAA118509,3,Ocly
AAA118509,4,Piaris
AAA118509,5,Piaris
AAA118510,1,Ocly
AAA118511,1,Ocly
AAA118512,1,Piaris
AAA118512,2,Verchecco
AAA118512,3,Ocly
AAA118513,1,Ocly
AAA118514,1,Verchecco
AAA118514,2,Verchecco
AAA118514,3,Ocly
AAA118515,1,Ocly
AAA118516,1,Piaris
AAA118517,1,Ocly
AAA118518,1,Verchecco
AAA118519,1,Piaris
AAA118520,1,Piaris
AAA118521,1,Ocly
AAA118522,1,Verchecco
AAA118523,1,Verchecco
AAA118524,1,Ocly
AAA118525,1,Ocly
AAA118526,1,Piaris
AAA118527,1,Verchecco
AAA118527,2,Ocly
AAA118527,3,Ocly
AAA118528,1,Verchecco
AAA118529,1,Verchecco
AAA118529,2,Ocly
AAA118530,1,Verchecco
AAA118530,2,Ocly
AAA118531,1,Piaris
AAA118532,1,Ocly
AAA118533,1,Verchecco
AAA118533,2,Piaris
AAA118533,3,Ocly
AAA118534,1,Verchecco
AAA118535,1,Piaris
AAA118536,1,Ocly
AAA118536,2,Verchecco
AAA118537,1,Verchecco
AAA118538,1,Piaris
AAA118539,1,Piaris
AAA118539,2,Verchecco
AAA118539,3,Piaris
AAA118540,1,Piaris
AAA118540,2,Ocly
AAA118541,1,Piaris
AAA118541,2,Verchecco
AAA118541,3,Ocly
AAA118541,4,Piaris
AAA118541,5,Ocly
AAA118542,1,Ocly
AAA118542,2,Verchecco
AAA118543,1,Verchecco
AAA118544,1,Ocly
AAA118545,1,Verchecco
AAA118546,1,Verchecco
AAA118546,2,Ocly
AAA118546,3,Ocly
AAA118547,1,Verchecco
AAA118548,1,Verchecco
AAA118549,1,Verchecco
AAA118550,1,Ocly
AAA118550,2,Ocly
AAA118551,1,Piaris
AAA118551,2,Piaris
AAA118551,3,Ocly
AAA118552,1,Piaris
AAA118553,1,Piaris
AAA118554,1,Verchecco
AAA118555,1,Verchecco
AAA118555,2,Piaris
AAA118555,3,Verchecco
AAA118556,1,Piaris
AAA118556,2,Ocly
AAA118556,3,Piaris
AAA118557,1,Verchecco
AAA118557,2,Piaris
AAA118558,1,Verchecco
AAA118559,1,Verchecco
AAA118560,1,Ocly
AAA118560,2,Piaris
AAA118560,3,Ocly
AAA118561,1,Ocly
AAA118562,1,Ocly
AAA118562,2,Piaris
AAA118562,3,Ocly
AAA118563,1,Verchecco
AAA118564,1,Ocly
AAA118565,1,Piaris
AAA118565,2,Piaris
AAA118565,3,Piaris
AAA118565,4,Verchecco
AAA118566,1,Ocly
AAA118566,2,Ocly
AAA118567,1,Verchecco
AAA118568,1,Piaris
AAA118569,1,Verchecco
AAA118569,2,Verchecco
AAA118569,3,Verchecco
AAA118570,1,Ocly
AAA118571,1,Verchecco
AAA118571,2,Piaris
AAA118571,3,Piaris
AAA118572,1,Ocly
AAA118573,1,Ocly
AAA118573,2,Piaris
AAA118573,3,Piaris
AAA118574,1,Piaris
AAA118575,1,Ocly
AAA118576,1,Piaris
AAA118577,1,Verchecco
AAA118578,1,Ocly
AAA118578,2,Piaris
AAA118578,3,Ocly
AAA118579,1,Verchecco
AAA118579,2,Ocly
AAA118579,3,Verchecco
AAA118580,1,Verchecco
AAA118581,1,Ocly
AAA118582,1,Piaris
AAA118582,2,Piaris
AAA118582,3,Verchecco
AAA118583,1,Ocly
AAA118584,1,Verchecco
AAA118585,1,Verchecco
AAA118586,1,Ocly
AAA118586,2,Verchecco
AAA118586,3,Piaris
AAA118587,1,Ocly
AAA118587,2,Piaris
AAA118587,3,Piaris
AAA118588,1,Verchecco
AAA118589,1,Ocly
AAA118590,1,Ocly
AAA118590,2,Piaris
AAA118590,3,Verchecco
AAA118591,1,Verchecco
AAA118592,1,Ocly
AAA118593,1,Piaris
AAA118593,2,Verchecco
AAA118593,3,Verchecco
AAA118594,1,Piaris
AAA118595,1,Verchecco
AAA118595,2,Piaris
AAA118595,3,Piaris
AAA118596,1,Piaris
AAA118597,1,Ocly
AAA118597,2,Verchecco
AAA118597,3,Ocly
AAA118598,1,Ocly
AAA118599,1,Verchecco
AAA118600,1,Ocly
AAA118601,1,Verchecco
AAA118602,1,Ocly
AAA118602,2,Ocly
AAA118602,3,Piaris
AAA118603,1,Verchecco
AAA118604,1,Ocly
AAA118604,2,Piaris
AAA118604,3,Piaris
AAA118605,1,Piaris
AAA118606,1,Verchecco
AAA118607,1,Ocly
AAA118607,2,Ocly
AAA118608,1,Piaris
AAA118609,1,Piaris
AAA118610,1,Ocly
AAA118611,1,Verchecco
AAA118612,1,Piaris
AAA118612,2,Verchecco
AAA118612,3,Piaris
AAA118613,1,Ocly
AAA118614,1,Piaris
AAA118614,2,Ocly
AAA118614,3,Verchecco
AAA118614,4,Ocly
AAA118615,1,Verchecco
AAA118615,2,Piaris
AAA118616,1,Ocly
AAA118616,2,Ocly
AAA118617,1,Verchecco
AAA118618,1,Ocly
AAA118619,1,Ocly
AAA118619,2,Ocly
AAA118619,3,Piaris
AAA118619,4,Piaris
AAA118619,5,Ocly
AAA118620,1,Ocly
AAA118621,1,Ocly
AAA118622,1,Verchecco
AAA118623,1,Piaris
AAA118624,1,Ocly
AAA118624,2,Verchecco
AAA118624,3,Verchecco
AAA118625,1,Piaris
AAA118625,2,Verchecco
AAA118625,3,Verchecco
AAA118625,4,Piaris
AAA118626,1,Ocly
AAA118626,2,Ocly
AAA118627,1,Verchecco
AAA118627,2,Ocly
AAA118627,3,Piaris
AAA118627,4,Piaris
AAA118628,1,Ocly
AAA118628,2,Ocly
AAA118628,3,Piaris
AAA118629,1,Ocly
AAA118630,1,Verchecco
AAA118631,1,Ocly
AAA118631,2,Verchecco
AAA118631,3,Ocly
AAA118632,1,Piaris
AAA118632,2,Ocly
AAA118632,3,Ocly
AAA118633,1,Ocly
AAA118633,2,Piaris
AAA118633,3,Verchecco
AAA118634,1,Verchecco
AAA118634,2,Piaris
AAA118635,1,Ocly
AAA118635,2,Piaris
AAA118635,3,Ocly
AAA118636,1,Verchecco
AAA118637,1,Ocly
AAA118638,1,Piaris
AAA118638,2,Verchecco
AAA118638,3,Verchecco
AAA118639,1,Piaris
AAA118639,2,Piaris
AAA118639,3,Verchecco
AAA118639,4,Piaris
AAA118639,5,Ocly
AAA118640,1,Ocly
AAA118641,1,Ocly
AAA118642,1,Verchecco
AAA118642,2,Ocly
AAA118642,3,Ocly
AAA118643,1,Ocly
AAA118643,2,Piaris
AAA118643,3,Verchecco
AAA118643,4,Piaris
AAA118644,1,Ocly
AAA118644,2,Verchecco
AAA118644,3,Verchecco
AAA118645,1,Verchecco
AAA118646,1,Ocly
AAA118646,2,Piaris
AAA118646,3,Ocly
AAA118647,1,Verchecco
AAA118647,2,Verchecco
AAA118647,3,Ocly
AAA118648,1,Verchecco
AAA118649,1,Ocly
AAA118650,1,Piaris
AAA118650,2,Piaris
AAA118650,3,Ocly
AAA118651,1,Piaris
AAA118651,2,Piaris
AAA118651,3,Piaris
AAA118652,1,Ocly
AAA118653,1,Piaris
AAA118653,2,Verchecco
AAA118653,3,Ocly
AAA118654,1,Ocly
AAA118655,1,Ocly
AAA118656,1,Piaris
AAA118656,2,Ocly
AAA118657,1,Ocly
AAA118657,2,Verchecco
AAA118657,3,Ocly
AAA118658,1,Ocly
AAA118659,1,Piaris
AAA118660,1,Piaris
AAA118661,1,Ocly
AAA118661,2,Piaris
AAA118661,3,Ocly
AAA118662,1,Verchecco
AAA118663,1,Verchecco
AAA118664,1,Ocly
AAA118664,2,Verchecco
AAA118665,1,Piaris
AAA118665,2,Ocly
AAA118666,1,Ocly
AAA118667,1,Verchecco
AAA118668,1,Ocly
AAA118669,1,Verchecco
AAA118670,1,Verchecco
AAA118671,1,Piaris
AAA118672,1,Verchecco
AAA118673,1,Verchecco
AAA118674,1,Verchecco
AAA118675,1,Ocly
AAA118676,1,Ocly
AAA118677,1,Piaris
AAA118677,2,Verchecco
AAA118677,3,Verchecco
AAA118678,1,Verchecco
AAA118679,1,Verchecco
AAA118680,1,Ocly
AAA118680,2,Ocly
AAA118680,3,Ocly
AAA118681,1,Ocly
AAA118682,1,Ocly
AAA118682,2,Verchecco
AAA118682,3,Ocly
AAA118683,1,Ocly
AAA118683,2,Ocly
AAA118683,3,Piaris
AAA118683,4,Verchecco
AAA118684,1,Ocly
AAA118685,1,Ocly
AAA118686,1,Piaris
AAA118687,1,Ocly
AAA118688,1,Ocly
AAA118689,1,Verchecco
AAA118690,1,Verchecco
AAA118691,1,Ocly
AAA118691,2,Verchecco
AAA118692,1,Verchecco
AAA118693,1,Ocly
AAA118694,1,Ocly
AAA118695,1,Verchecco
AAA118695,2,Verchecco
AAA118695,3,Piaris
AAA118696,1,Verchecco
AAA118697,1,Verchecco
AAA118697,2,Piaris
AAA118697,3,Verchecco
AAA118697,4,Piaris
AAA118697,5,Piaris
AAA118698,1,Verchecco
AAA118698,2,Piaris
AAA118698,3,Verchecco
AAA118699,1,Ocly
AAA118699,2,Piaris
AAA118699,3,Verchecco
AAA118699,4,Piaris
AAA118700,1,Ocly
AAA118700,2,Ocly
AAA118701,1,Ocly
AAA118702,1,Ocly
AAA118703,1,Piaris
AAA118703,2,Ocly
AAA118703,3,Piaris
AAA118703,4,Verchecco
AAA118703,5,Ocly
AAA118704,1,Verchecco
AAA118705,1,Ocly
AAA118706,1,Verchecco
AAA118707,1,Verchecco
AAA118708,1,Verchecco
AAA118708,2,Ocly
AAA118709,1,Ocly
AAA118710,1,Ocly
AAA118711,1,Ocly
AAA118711,2,Verchecco
AAA118711,3,Verchecco
AAA118711,4,Ocly
AAA118711,5,Ocly
AAA118712,1,Piaris
AAA118713,1,Ocly
AAA118714,1,Piaris
AAA118714,2,Verchecco
AAA118714,3,Piaris
AAA118715,1,Ocly
AAA118716,1,Verchecco
AAA118716,2,Verchecco
AAA118716,3,Ocly
AAA118717,1,Ocly
AAA118717,2,Ocly
AAA118718,1,Verchecco
AAA118719,1,Piaris
AAA118720,1,Verchecco
AAA118721,1,Ocly
AAA118722,1,Ocly
AAA118722,2,Ocly
AAA118722,3,Piaris
AAA118723,1,Verchecco
AAA118723,2,Ocly
AAA118724,1,Ocly
AAA118725,1,Verchecco
AAA118726,1,Piaris
AAA118727,1,Verchecco
AAA118727,2,Ocly
AAA118727,3,Ocly
AAA118728,1,Verchecco
AAA118729,1,Ocly
AAA118729,2,Piaris
AAA118729,3,Piaris
AAA118730,1,Ocly
AAA118731,1,Ocly
AAA118732,1,Ocly
AAA118733,1,Ocly
AAA118734,1,Verchecco
AAA118734,2,Ocly
AAA118735,1,Piaris
AAA118736,1,Verchecco
AAA118737,1,Verchecco
AAA118738,1,Ocly
AAA118739,1,Piaris
AAA118740,1,Ocly
AAA118741,1,Piaris
AAA118742,1,Verchecco
AAA118743,1,Ocly
AAA118744,1,Ocly
AAA118744,2,Piaris
AAA118745,1,Ocly
AAA118746,1,Ocly
AAA118747,1,Ocly
AAA118748,1,Ocly
AAA118749,1,Ocly
AAA118750,1,Verchecco
AAA118751,1,Verchecco
AAA118751,2,Ocly
AAA118751,3,Verchecco
AAA118752,1,Ocly
AAA118752,2,Verchecco
AAA118752,3,Ocly
AAA118753,1,Verchecco
AAA118753,2,Ocly
AAA118753,3,Ocly
AAA118754,1,Ocly
AAA118755,1,Verchecco
AAA118756,1,Piaris
AAA118757,1,Piaris
AAA118757,2,Verchecco
AAA118757,3,Piaris
AAA118757,4,Verchecco
AAA118758,1,Ocly
AAA118758,2,Piaris
AAA118758,3,Piaris
AAA118759,1,Piaris
AAA118760,1,Ocly
AAA118761,1,Piaris
AAA118762,1,Verchecco
