Transaction ID,Sale ID,Overall Score,Durability Score,Quality Score,Color Score,Value For Money Score,Fit Score
AAA118289,1,96,84,93,92,80,94
AAA118290,1,90,98,87,64,88,82
AAA118290,2,97,91,93,58,85,81
AAA118292,2,79,85,33,60,54,86
AAA118293,1,93,85,94,86,63,86
AAA118294,1,98,97,89,75,88,89
AAA118295,1,68,82,36,62,92,78
AAA118295,2,98,99,81,78,97,97
AAA118295,3,71,90,93,95,68,80
AAA118296,1,59,84,49,69,55,79
AAA118296,2,63,89,75,90,81,89
AAA118297,1,83,98,92,76,97,91
AAA118298,1,98,70,81,96,84,85
AAA118299,1,95,90,95,100,56,84
AAA118300,1,95,97,97,88,83,97
AAA118304,1,85,84,93,64,70,83
AAA118305,1,92,94,86,62,85,80
AAA118307,1,99,94,74,62,72,79
AAA118309,1,77,100,76,65,68,92
AAA118311,1,97,100,79,52,64,96
AAA118311,2,84,77,90,71,77,97
AAA118311,3,71,78,48,54,69,84
AAA118311,4,88,95,94,69,85,85
AAA118311,5,73,68,53,78,72,85
AAA118312,1,97,73,90,82,94,87
AAA118313,1,61,94,53,67,69,90
AAA118313,2,94,82,86,64,85,87
AAA118313,3,91,99,95,82,88,90
AAA118314,1,89,98,92,31,98,88
AAA118315,1,89,98,94,55,95,90
AAA118316,1,95,97,91,79,82,84
AAA118317,1,90,97,94,74,87,92
AAA118318,1,79,90,96,94,56,82
AAA118318,2,98,97,86,67,74,85
AAA118318,3,63,80,48,58,45,84
AAA118319,2,98,94,98,71,72,86
AAA118321,1,89,75,51,93,59,86
AAA118321,2,48,100,90,55,92,82
AAA118321,3,96,100,89,47,97,97
AAA118322,2,90,99,85,98,90,78
AAA118322,3,51,86,51,97,51,88
AAA118323,1,87,97,85,52,81,99
AAA118324,1,85,95,83,76,89,81
AAA118327,1,90,85,85,67,57,83
AAA118329,1,84,95,91,63,86,85
AAA118332,1,94,81,53,100,62,78
AAA118333,1,63,90,81,77,38,89
AAA118334,2,96,99,99,67,78,92
AAA118334,3,91,88,47,86,71,91
AAA118338,1,85,97,96,61,90,80
AAA118339,1,86,86,87,75,90,80
AAA118340,1,88,88,86,92,51,92
AAA118341,3,84,96,96,46,74,90
AAA118342,2,96,100,80,71,85,89
AAA118343,2,89,99,98,96,99,96
AAA118343,3,60,80,40,76,30,89
AAA118343,4,73,84,84,91,49,78
AAA118344,1,80,97,89,93,81,81
AAA118345,1,98,96,92,59,78,81
AAA118346,1,99,95,97,45,82,88
AAA118346,2,90,89,90,100,58,95
AAA118346,3,80,74,42,94,53,90
AAA118347,3,59,75,47,56,52,79
AAA118348,1,81,99,94,26,53,88
AAA118349,1,98,100,92,65,81,90
AAA118349,2,78,96,98,62,68,87
AAA118350,1,67,81,35,70,47,86
AAA118351,1,94,72,39,99,75,92
AAA118351,3,53,78,51,35,48,97
AAA118353,1,67,98,87,45,81,90
AAA118354,1,75,76,38,79,57,97
AAA118355,2,89,100,100,56,86,84
AAA118355,3,83,97,94,55,93,96
AAA118356,1,80,85,44,69,72,79
AAA118356,2,87,90,88,74,99,82
AAA118358,1,85,93,92,54,88,88
AAA118359,1,91,98,90,41,86,92
AAA118360,1,96,87,93,92,67,87
AAA118361,1,74,74,42,81,77,79
AAA118362,1,84,90,94,63,72,87
AAA118365,1,85,90,99,95,70,100
AAA118366,1,87,98,74,86,90,84
AAA118366,2,99,94,96,74,49,78
AAA118367,1,94,97,97,53,99,89
AAA118367,2,83,80,95,96,92,89
AAA118368,1,58,78,40,71,74,91
AAA118369,1,57,83,55,93,47,81
AAA118370,1,84,98,96,76,74,85
AAA118371,1,61,80,74,83,81,86
AAA118372,1,95,91,81,76,73,81
AAA118373,1,93,95,91,78,72,86
AAA118373,2,88,98,100,50,99,85
AAA118374,1,97,100,97,93,84,84
AAA118374,3,84,82,38,50,70,91
AAA118375,2,95,69,94,98,92,85
AAA118375,3,76,100,71,92,77,78
AAA118377,1,98,98,85,56,92,79
AAA118379,1,97,96,97,47,65,87
AAA118379,2,89,93,96,70,87,83
AAA118380,1,96,85,97,94,81,95
AAA118380,2,51,77,34,58,71,89
AAA118380,3,93,95,100,94,76,98
AAA118381,1,81,76,43,76,77,90
AAA118382,1,99,65,96,82,67,88
AAA118383,1,99,93,96,56,97,78
AAA118384,1,99,97,89,57,86,86
AAA118385,1,46,80,37,99,90,89
AAA118386,2,99,90,87,83,80,96
AAA118386,3,65,88,39,53,67,78
AAA118387,2,85,99,81,84,98,87
AAA118387,3,79,85,48,76,51,88
AAA118388,1,94,72,80,54,78,88
AAA118389,1,68,81,44,95,94,82
AAA118390,1,87,88,91,73,90,80
AAA118391,1,96,100,90,58,99,84
AAA118392,1,91,87,94,63,95,80
AAA118393,1,94,95,94,46,73,87
AAA118394,1,98,79,92,67,70,87
AAA118395,1,70,84,40,91,76,92
AAA118395,2,86,75,75,84,86,78
AAA118396,1,94,87,95,98,80,87
AAA118396,2,90,95,98,92,61,89
AAA118396,3,99,94,86,62,84,86
AAA118397,1,97,82,87,80,65,98
AAA118397,3,54,72,51,96,52,80
AAA118399,1,69,96,88,98,82,84
AAA118400,1,87,87,88,87,64,99
AAA118400,2,61,80,43,62,54,83
AAA118401,1,91,84,95,87,80,87
AAA118402,1,85,97,91,68,92,91
AAA118403,1,91,99,98,45,67,83
AAA118404,1,85,93,92,98,52,95
AAA118405,1,90,94,94,52,81,82
AAA118405,2,95,97,95,81,85,84
AAA118405,3,97,81,81,99,66,74
AAA118407,1,80,99,91,55,88,79
AAA118408,1,81,95,98,74,90,82
AAA118408,2,93,91,91,95,97,95
AAA118408,3,68,76,40,59,97,83
AAA118409,1,86,92,92,93,75,94
AAA118409,3,98,86,94,96,73,92
AAA118410,1,63,82,45,81,87,86
AAA118410,3,86,96,90,71,80,89
AAA118411,1,88,94,97,83,83,96
AAA118411,2,85,86,91,95,73,84
AAA118412,1,89,67,61,76,79,80
AAA118414,1,88,83,87,86,83,97
AAA118415,1,69,77,56,83,57,92
AAA118415,2,40,76,76,96,51,96
AAA118416,1,100,80,82,95,78,87
AAA118416,2,68,99,96,88,82,83
AAA118418,1,99,75,93,74,66,84
AAA118420,1,77,73,47,71,53,80
AAA118420,2,84,94,84,93,64,88
AAA118421,1,87,90,86,67,99,83
AAA118421,2,55,86,48,99,66,81
AAA118422,2,90,94,93,56,75,87
AAA118423,1,70,95,77,57,87,87
AAA118426,1,92,99,92,89,60,83
AAA118427,1,98,85,41,92,74,92
AAA118429,1,76,85,45,74,55,81
AAA118429,2,95,76,56,88,90,91
AAA118429,4,74,87,83,94,68,98
AAA118429,5,63,80,36,82,47,82
AAA118430,1,93,78,91,69,96,99
AAA118431,1,100,86,82,46,85,83
AAA118432,1,79,99,84,48,51,89
AAA118434,1,100,99,88,97,92,83
AAA118435,1,51,78,48,57,71,88
AAA118435,2,73,84,52,92,70,91
AAA118435,3,99,95,90,88,72,99
AAA118436,3,97,76,86,94,58,93
AAA118436,4,93,83,41,77,88,86
AAA118437,1,97,82,86,100,88,87
AAA118438,1,99,71,99,97,58,96
AAA118440,1,88,99,91,72,100,88
AAA118441,1,92,84,97,74,63,83
AAA118442,1,87,92,93,81,53,99
AAA118443,1,92,97,94,97,79,92
AAA118444,1,85,96,86,62,72,95
AAA118444,2,97,97,99,52,89,90
AAA118444,3,97,83,92,100,86,72
AAA118445,1,78,79,33,74,35,96
AAA118445,2,92,97,94,34,77,90
AAA118446,1,98,85,85,78,57,90
AAA118446,2,93,97,87,56,86,88
AAA118446,3,82,85,36,71,57,87
AAA118447,1,78,98,90,66,87,90
AAA118448,1,71,85,95,96,78,86
AAA118448,2,94,96,99,98,94,95
AAA118448,3,83,82,41,96,98,95
AAA118449,1,95,99,94,85,62,86
AAA118450,1,88,85,87,60,64,85
AAA118450,3,83,96,93,60,91,88
AAA118451,1,78,81,36,97,61,98
AAA118451,2,98,80,81,97,69,100
AAA118452,1,69,98,89,49,67,92
AAA118453,1,90,98,99,97,83,84
AAA118454,1,99,98,89,93,78,86
AAA118455,1,66,84,48,57,52,81
AAA118460,1,79,71,48,88,82,79
AAA118461,1,91,91,93,55,74,88
AAA118462,1,84,95,91,75,71,92
AAA118462,2,94,96,93,49,98,92
AAA118463,1,88,95,84,79,85,79
AAA118464,1,99,94,89,92,89,81
AAA118465,1,95,93,90,98,79,87
AAA118468,1,88,83,89,92,71,92
AAA118469,1,89,77,44,96,65,90
AAA118470,1,89,78,83,82,84,86
AAA118470,2,100,98,94,83,88,90
AAA118471,2,94,98,95,88,68,88
AAA118473,2,92,68,41,94,84,80
AAA118474,1,92,94,88,72,94,81
AAA118475,1,79,87,58,85,52,92
AAA118476,1,93,94,82,60,79,84
AAA118477,2,98,91,77,70,91,85
AAA118478,2,64,80,42,52,87,90
AAA118478,3,81,73,46,71,36,92
AAA118479,2,85,94,89,82,99,83
AAA118480,2,67,97,100,59,85,80
AAA118480,3,71,85,61,78,71,78
AAA118481,1,68,96,83,63,68,97
AAA118486,1,93,97,89,46,98,88
AAA118487,1,76,80,94,86,57,91
AAA118488,1,88,80,48,73,68,91
AAA118488,2,88,85,83,86,93,96
AAA118489,1,80,97,89,80,64,78
AAA118489,2,79,97,80,96,72,92
AAA118490,1,67,74,36,29,27,87
AAA118491,2,48,75,99,99,48,86
AAA118491,3,83,80,34,79,72,86
AAA118493,1,82,60,53,75,81,88
AAA118495,2,100,87,90,97,62,92
AAA118496,1,91,84,94,72,69,98
AAA118497,1,92,81,53,91,61,81
AAA118497,2,99,95,83,80,71,78
AAA118498,1,71,87,73,80,70,92
AAA118501,1,77,84,49,57,76,92
AAA118501,3,89,95,81,96,72,87
AAA118502,1,77,95,84,33,72,96
AAA118503,1,93,80,97,86,61,83
AAA118504,1,96,96,97,59,96,92
AAA118505,1,97,93,96,52,89,79
AAA118505,2,68,98,78,8,90,82
AAA118506,2,92,100,92,83,96,84
AAA118507,1,87,98,80,51,90,87
AAA118507,3,87,94,80,98,92,90
AAA118508,1,96,82,85,94,94,97
AAA118509,1,50,80,45,63,51,85
AAA118509,2,83,90,88,99,100,79
AAA118509,3,97,94,78,66,51,99
AAA118509,5,81,65,51,73,68,98
AAA118510,1,78,94,97,74,73,91
AAA118511,1,90,100,88,42,59,93
AAA118512,1,70,76,48,68,46,89
AAA118512,2,91,75,89,92,92,80
AAA118512,3,93,97,92,60,68,84
AAA118513,1,69,100,93,100,71,90
AAA118514,2,96,81,80,88,88,96
AAA118514,3,91,94,90,48,98,94
AAA118515,1,91,96,95,92,76,87
AAA118516,1,71,85,33,81,52,82
AAA118517,1,96,99,72,95,86,86
AAA118518,1,99,72,93,97,76,93
AAA118519,1,98,82,55,96,75,94
AAA118520,1,67,77,41,97,84,88
AAA118521,1,66,93,84,60,79,81
AAA118522,1,79,86,87,92,72,95
AAA118526,1,90,72,55,83,73,81
AAA118527,1,89,86,86,91,72,92
AAA118527,2,88,92,92,84,76,78
AAA118529,1,92,82,95,98,89,79
AAA118530,1,74,95,92,93,60,99
AAA118530,2,87,97,77,41,64,90
AAA118531,1,92,75,53,67,57,88
AAA118532,1,89,95,89,64,89,84
AAA118533,1,83,76,99,97,84,84
AAA118535,1,63,80,54,55,69,78
AAA118536,1,66,97,95,45,49,98
AAA118536,2,82,69,90,91,85,99
AAA118539,1,66,80,53,92,56,87
AAA118539,2,81,81,96,88,73,88
AAA118540,2,91,98,86,56,89,83
AAA118541,1,57,83,46,53,52,86
AAA118541,2,95,92,80,68,44,92
AAA118541,3,100,100,86,76,79,83
AAA118541,4,89,80,50,99,57,81
AAA118541,5,88,97,95,91,79,87
AAA118542,1,91,93,98,83,80,83
AAA118544,1,70,99,94,51,69,79
AAA118545,1,97,85,93,77,85,86
AAA118546,2,94,98,90,97,59,89
AAA118547,1,85,89,82,87,83,78
AAA118549,1,90,83,96,94,82,82
AAA118550,1,92,97,90,79,92,92
AAA118550,2,93,100,98,90,86,86
AAA118551,2,87,81,52,76,73,91
AAA118552,1,58,81,46,55,42,83
AAA118553,1,89,86,47,81,89,92
AAA118554,1,86,87,83,69,76,89
AAA118555,2,87,80,47,92,75,92
AAA118555,3,85,82,83,92,69,97
AAA118556,1,90,79,47,75,76,79
AAA118556,2,50,99,81,96,89,91
AAA118556,3,68,87,47,100,77,96
AAA118557,1,89,86,87,77,63,98
AAA118557,2,77,71,34,93,62,89
AAA118558,1,99,82,98,98,96,97
AAA118560,1,86,100,80,64,99,88
AAA118561,1,83,100,86,56,85,91
AAA118562,1,96,99,89,69,89,88
AAA118562,3,94,99,95,37,94,89
AAA118564,1,94,94,93,53,80,79
AAA118565,1,44,78,48,63,57,93
AAA118565,2,63,71,38,100,64,80
AAA118565,3,54,80,41,78,80,87
AAA118566,1,99,97,89,83,98,86
AAA118567,1,88,74,76,92,84,92
AAA118569,2,88,92,82,80,92,98
AAA118570,1,93,99,90,85,83,87
AAA118571,1,89,79,79,72,41,78
AAA118571,2,87,78,43,86,60,79
AAA118571,3,91,88,48,66,70,92
AAA118572,1,83,99,72,99,78,89
AAA118574,1,59,80,39,73,47,88
AAA118575,1,78,94,92,93,95,87
AAA118577,1,97,77,91,87,91,95
AAA118578,1,89,96,93,51,72,82
AAA118580,1,91,85,89,97,85,86
AAA118582,2,52,73,44,79,47,91
AAA118583,1,61,96,94,77,85,87
AAA118585,1,94,76,93,69,81,94
AAA118586,1,83,95,83,63,96,79
AAA118586,2,92,95,83,71,57,88
AAA118586,3,77,74,47,62,58,83
AAA118587,1,97,96,95,75,67,88
AAA118587,3,92,78,51,60,60,99
AAA118588,1,91,81,94,87,98,85
AAA118589,1,98,93,88,49,97,92
AAA118590,3,99,95,74,98,94,95
AAA118591,1,92,81,93,67,79,83
AAA118592,1,98,95,89,60,77,88
AAA118593,2,73,85,95,97,69,87
AAA118594,1,49,86,41,95,63,84
AAA118595,1,90,88,92,100,76,90
AAA118595,3,67,72,53,100,98,82
AAA118596,1,65,73,44,45,57,94
AAA118597,1,87,99,98,69,100,99
AAA118597,2,83,90,89,78,59,99
AAA118597,3,75,95,79,90,69,97
AAA118598,1,98,94,97,72,64,81
AAA118599,1,79,86,94,95,73,87
AAA118600,1,86,95,86,56,84,80
AAA118601,1,78,93,95,98,67,95
AAA118602,1,98,90,97,51,66,83
AAA118602,2,54,100,86,75,80,79
AAA118602,3,89,77,50,86,63,83
AAA118603,1,85,74,82,73,54,92
AAA118605,1,55,76,42,53,62,89
AAA118606,1,93,78,94,100,93,79
AAA118607,1,70,96,97,59,74,73
AAA118607,2,98,99,88,77,93,86
AAA118608,1,57,85,43,57,54,82
AAA118609,1,66,76,38,96,75,83
AAA118612,1,83,75,50,82,80,87
AAA118612,2,89,79,91,98,72,96
AAA118612,3,81,77,47,98,56,92
AAA118614,1,61,85,40,93,34,90
AAA118614,3,74,82,86,92,89,78
AAA118614,4,85,97,88,60,76,80
AAA118615,1,91,91,91,74,69,85
AAA118615,2,80,100,50,53,79,92
AAA118618,1,98,94,91,66,93,85
AAA118619,1,88,94,96,28,89,82
AAA118619,2,90,99,93,54,97,85
AAA118619,3,68,82,36,73,52,89
AAA118619,4,77,84,50,77,52,82
AAA118619,5,99,96,98,32,71,81
AAA118621,1,88,97,86,89,93,90
AAA118622,1,98,77,89,94,87,87
AAA118623,1,84,79,55,70,79,79
AAA118624,2,80,92,84,90,80,79
AAA118624,3,83,92,88,97,77,99
AAA118625,4,80,83,34,93,89,84
AAA118626,1,100,98,98,71,88,88
AAA118626,2,98,95,98,92,93,84
AAA118627,2,97,100,85,69,93,82
AAA118628,1,92,97,92,67,96,88
AAA118628,2,95,95,90,57,66,89
AAA118628,3,64,87,27,84,58,89
AAA118629,1,94,92,88,72,84,90
AAA118630,1,89,83,89,56,73,81
AAA118631,1,78,94,87,55,92,86
AAA118631,2,87,90,95,94,94,100
AAA118632,1,93,86,67,77,68,85
AAA118632,2,96,99,87,92,68,91
AAA118632,3,78,100,91,48,81,84
AAA118633,1,88,93,85,66,88,86
AAA118633,2,61,79,51,82,70,81
AAA118633,3,92,89,91,97,60,83
AAA118634,1,97,73,92,94,84,82
AAA118634,2,99,81,56,94,49,91
AAA118635,1,57,97,79,41,79,75
AAA118635,2,82,86,40,77,65,86
AAA118635,3,91,98,77,76,100,85
AAA118636,1,93,89,83,92,81,97
AAA118637,1,100,94,98,60,86,85
AAA118639,1,75,81,53,41,94,85
AAA118639,2,92,76,47,87,81,80
AAA118639,3,100,82,90,98,80,92
AAA118639,5,89,98,97,82,87,78
AAA118640,1,50,95,93,25,96,81
AAA118642,2,83,87,85,62,99,81
AAA118642,3,93,97,81,82,91,92
AAA118643,3,91,84,90,100,76,98
AAA118643,4,76,85,38,69,67,94
AAA118644,1,83,96,90,56,82,86
AAA118644,2,89,89,88,68,46,80
AAA118644,3,86,92,93,93,88,96
AAA118645,1,91,92,93,86,73,97
AAA118646,1,67,96,92,65,97,90
AAA118647,1,71,85,96,100,61,81
AAA118647,2,94,80,98,92,55,82
AAA118650,2,93,81,53,95,55,84
AAA118650,3,88,95,96,75,93,88
AAA118651,1,57,71,48,97,76,82
AAA118652,1,94,100,92,77,67,82
AAA118653,1,40,71,50,76,40,85
AAA118653,2,91,75,93,78,53,84
AAA118654,1,93,97,92,81,75,88
AAA118655,1,92,94,88,53,99,84
AAA118656,1,84,85,47,98,100,88
AAA118656,2,88,94,98,43,94,92
AAA118657,1,91,98,92,66,100,90
AAA118657,2,88,84,84,94,49,70
AAA118657,3,94,100,92,45,88,94
AAA118658,1,99,96,94,73,93,95
AAA118659,1,78,66,52,78,78,92
AAA118661,2,61,83,47,75,65,91
AAA118664,1,68,97,94,77,82,82
AAA118665,2,94,96,92,66,98,66
AAA118667,1,100,76,96,94,80,85
AAA118668,1,99,95,96,52,76,99
AAA118669,1,93,88,90,79,65,91
AAA118671,1,66,88,55,84,43,80
AAA118675,1,96,95,89,60,72,92
AAA118676,1,86,99,100,57,85,92
AAA118677,1,61,93,40,71,74,87
AAA118677,2,97,88,86,100,87,95
AAA118679,1,91,84,88,97,85,88
AAA118680,1,98,95,92,38,76,85
AAA118680,2,86,100,89,56,79,99
AAA118680,3,95,94,91,75,72,94
AAA118682,3,86,100,97,64,97,80
AAA118683,1,96,94,90,72,86,84
AAA118683,3,90,79,55,49,96,95
AAA118683,4,98,93,91,84,75,91
AAA118684,1,98,96,87,66,82,88
AAA118685,1,92,100,89,47,86,99
AAA118686,1,100,79,53,95,80,91
AAA118687,1,89,95,95,66,54,86
AAA118690,1,96,86,92,65,84,82
AAA118691,1,96,95,93,57,83,82
AAA118691,2,84,73,94,96,75,81
AAA118692,1,96,96,87,79,74,98
AAA118693,1,94,94,91,65,69,81
AAA118694,1,100,98,84,73,88,90
AAA118695,2,67,97,89,90,73,95
AAA118695,3,80,81,52,52,64,82
AAA118697,1,88,92,83,81,76,77
AAA118697,2,68,74,27,79,97,82
AAA118697,3,80,81,89,59,65,86
AAA118697,4,81,77,52,58,48,85
AAA118697,5,88,74,38,85,80,86
AAA118698,1,93,87,94,88,86,98
AAA118699,1,92,99,82,91,74,86
AAA118699,2,82,84,43,90,81,78
AAA118699,4,57,81,38,64,74,78
AAA118700,2,89,98,92,73,89,85
AAA118702,1,88,90,94,57,92,84
AAA118703,2,78,95,79,38,54,79
AAA118703,5,96,87,90,62,70,92
AAA118704,1,77,79,95,97,63,87
AAA118706,1,99,85,90,61,76,88
AAA118707,1,97,87,92,87,55,81
AAA118710,1,86,96,80,86,78,90
AAA118711,1,81,95,88,55,92,87
AAA118711,2,99,82,85,80,78,80
AAA118711,4,77,91,97,43,93,99
AAA118711,5,90,99,85,54,85,83
AAA118712,1,78,86,36,45,70,88
AAA118714,1,67,82,39,90,62,96
AAA118715,1,86,98,86,57,82,92
AAA118716,2,95,80,94,98,69,77
AAA118717,2,82,95,89,54,73,90
AAA118718,1,100,81,87,83,99,78
AAA118719,1,63,73,41,71,72,91
AAA118721,1,96,100,90,87,77,84
AAA118722,2,73,97,87,76,62,95
AAA118723,1,83,83,90,76,95,89
AAA118723,2,85,99,96,84,90,95
AAA118724,1,95,99,88,30,90,94
AAA118725,1,99,76,98,100,74,85
AAA118726,1,68,73,38,60,67,82
AAA118727,1,100,85,80,68,85,83
AAA118727,2,80,100,91,99,65,92
AAA118728,1,81,75,87,90,43,90
AAA118729,1,94,94,91,77,63,84
AAA118729,2,81,75,40,78,76,89
AAA118732,1,71,95,89,68,72,83
AAA118733,1,87,97,92,77,93,88
AAA118734,2,91,100,92,45,85,83
AAA118735,1,76,69,53,81,62,86
AAA118738,1,76,98,92,54,68,83
AAA118739,1,64,77,36,61,54,89
AAA118741,1,69,74,38,69,62,81
AAA118742,1,92,76,86,55,85,91
AAA118743,1,71,92,96,30,93,79
AAA118744,1,93,96,90,44,93,83
AAA118744,2,97,80,58,81,81,90
AAA118745,1,81,95,91,77,79,90
