index,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,dob
3792,0B4D50100D0C68AC,docked_bike,2023-01-29 01:59:53,2023-01-29 02:30:22,Broadway & Cornelia Ave,303.0,Franklin St & Chicago Ave,31.0,41.9455,-87.6464,41.8967,-87.6357,member,1967-02-01
148541,B3ED3577C4BA9FA0,docked_bike,2023-02-05 13:06:15,2023-02-05 13:14:21,Columbus Dr & Randolph St,195.0,Federal St & Polk St,41.0,41.8847,-87.6195,41.8721,-87.6295,member,1988-06-30
272305,64E2DC5C39F51C00,docked_bike,2023-02-17 10:58:06,2023-02-17 11:07:02,Clinton St & Washington Blvd,91.0,Aberdeen St & Monroe St,80.0,41.8834,-87.6412,41.8804,-87.6555,member,1990-05-28
202769,F55B177ADA72D57B,docked_bike,2023-02-05 11:51:23,2023-02-05 11:57:37,Marshfield Ave & Cortland St,58.0,Wood St & Milwaukee Ave,61.0,41.916,-87.6689,41.9077,-87.6726,member,1975-11-04
324788,ECF2B9055EB5564E,docked_bike,2023-03-08 04:55:52,2023-03-08 05:12:08,Wabash Ave & Grand Ave,199.0,Larrabee St & Webster Ave,144.0,41.8915,-87.6268,41.9218,-87.6441,member,1983-02-14
171805,6641754EAD56F8CD,docked_bike,2023-02-02 06:51:30,2023-02-02 07:09:31,Broadway & Wilson Ave,293.0,Ashland Ave & Wellington Ave,250.0,41.9652,-87.6581,41.9361,-87.6698,member,1982-11-06
83877,4F67729FEA48E833,docked_bike,2023-01-10 01:35:21,2023-01-10 01:41:56,Winchester Ave & Elston Ave,505.0,Damen Ave & Pierce Ave,69.0,41.9241,-87.6765,41.9094,-87.6777,member,1997-03-05
7245,7AE9A2D279911FF0,docked_bike,2023-01-31 10:01:23,2023-01-31 10:12:29,Clinton St & Madison St,77.0,State St & Kinzie St,47.0,41.8822,-87.6411,41.8892,-87.6278,member,1996-12-18
186389,F68B95648EB3A976,docked_bike,2023-02-03 01:16:22,2023-02-03 01:20:16,Milwaukee Ave & Grand Ave,84.0,Kingsbury St & Kinzie St,133.0,41.8916,-87.6484,41.8892,-87.6385,member,2006-12-04
56356,DB69F9A1E803FA5E,docked_bike,2023-01-03 11:18:30,2023-01-03 11:25:21,Ogden Ave & Chicago Ave,54.0,Ashland Ave & Chicago Ave,350.0,41.8964,-87.6541,41.896,-87.6677,member,1985-06-26
365085,EAEC78576543DB69,docked_bike,2023-03-17 12:28:25,2023-03-17 12:32:24,Franklin St & Illinois St,672.0,Desplaines St & Kinzie St,56.0,41.891,-87.6355,41.8887,-87.6444,member,1996-01-31
192183,396557D546E4A6F2,docked_bike,2023-02-17 05:38:07,2023-02-17 05:41:58,Lake Park Ave & 56th St,345.0,University Ave & 57th St,423.0,41.7932,-87.5878,41.7915,-87.5999,member,1994-12-10
414582,D0671EB95F6E4C91,docked_bike,2023-03-06 13:13:27,2023-03-06 13:20:13,Canal St & Monroe St,191.0,State St & Randolph St,44.0,41.8817,-87.6395,41.8847,-87.6277,member,1981-09-22
264845,0899A848A51AB7CE,docked_bike,2023-02-20 02:37:18,2023-02-20 02:43:40,Clinton St & Lake St,66.0,Racine Ave & Washington Blvd (*),654.0,41.8856,-87.6418,41.8831,-87.657,member,1980-02-26
371154,914D3E1874111BDC,docked_bike,2023-03-03 03:43:33,2023-03-03 04:14:14,Damen Ave & Cullerton St,124.0,Desplaines St & Jackson Blvd,107.0,41.855,-87.6757,41.8783,-87.6439,member,2006-01-27
324703,8C00A893476E318E,docked_bike,2023-03-05 17:12:06,2023-03-05 17:14:29,Michigan Ave & Madison St,197.0,Dearborn St & Monroe St,49.0,41.8821,-87.6251,41.8813,-87.6295,member,1991-08-23
406670,6E58C1ABA8A62637,docked_bike,2023-03-21 08:49:59,2023-03-21 09:01:48,Wood St & Augusta Blvd,657.0,Clinton St & Washington Blvd,91.0,41.8992,-87.6722,41.8834,-87.6412,member,2001-05-18
153654,08CBC1F38C96D187,docked_bike,2023-02-23 05:03:30,2023-02-23 05:07:38,Lakefront Trail & Wilson Ave,639.0,Montrose Harbor,249.0,41.9658,-87.6454,41.964,-87.6382,member,1989-10-19
392327,1C89E7F1D01B9908,docked_bike,2023-03-08 13:00:41,2023-03-08 14:00:15,Damen Ave & Leland Ave,242.0,Damen Ave & Leland Ave,242.0,41.9671,-87.679,41.9671,-87.679,casual,
150897,79BBFD0777388917,docked_bike,2023-02-19 11:01:58,2023-02-19 11:16:57,Franklin St & Monroe St,287.0,Sedgwick St & Schiller St,236.0,41.8803,-87.6352,41.9076,-87.6386,member,2004-10-04
196112,D9C8BA91547804B4,docked_bike,2023-02-27 14:54:40,2023-02-27 15:04:54,California Ave & Milwaukee Ave,123.0,Albany Ave & Bloomingdale Ave,511.0,41.9227,-87.6972,41.914,-87.7051,member,1989-01-22
422543,96B813E83B9F55A0,docked_bike,2023-03-21 08:03:29,2023-03-21 08:09:33,Loomis St & Lexington St,320.0,Wolcott Ave & Polk St,342.0,41.8722,-87.6615,41.8713,-87.6737,member,1980-05-23
192915,A09A05019B478929,docked_bike,2023-02-15 14:16:58,2023-02-15 14:23:36,MLK Jr Dr & 29th St,237.0,State St & 33rd St,148.0,41.8421,-87.617,41.8347,-87.6258,member,2006-03-21
293433,291F35BF803ED224,docked_bike,2023-03-09 11:44:11,2023-03-09 12:01:29,Aberdeen St & Randolph St,621.0,Clark St & Randolph St,51.0,41.8841,-87.6543,41.8846,-87.6319,casual,
398640,9722816EC0BC05A8,docked_bike,2023-03-21 10:46:12,2023-03-21 10:52:53,Canal St & Harrison St,169.0,Michigan Ave & Ida B Wells Dr,45.0,41.8743,-87.6396,41.8762,-87.6244,member,1969-03-22
104208,2D4D7BAD5C1EFBEB,docked_bike,2023-01-02 10:41:36,2023-01-02 10:49:50,California Ave & Milwaukee Ave,123.0,Spaulding Ave & Armitage Ave,506.0,41.9227,-87.6972,41.9171,-87.7102,member,1989-01-24
49392,637E847202B252E5,docked_bike,2023-01-10 08:57:59,2023-01-10 09:02:19,LaSalle St & Adams St,40.0,Canal St & Madison St,174.0,41.8793,-87.632,41.8821,-87.6398,member,1996-01-04
413886,569966436B6E2494,docked_bike,2023-03-14 08:55:46,2023-03-14 09:02:12,Clinton St & Roosevelt Rd,57.0,Financial Pl & Ida B Wells Dr,89.0,41.8671,-87.6411,41.875,-87.6331,member,1982-02-13
66242,E7CD63BC21BFB366,docked_bike,2023-01-09 10:15:54,2023-01-09 10:28:41,Morgan St & 18th St,14.0,Clinton St & Madison St,77.0,41.8581,-87.6511,41.8822,-87.6411,member,1998-03-18
211979,7B33DAB02EEEC946,docked_bike,2023-02-25 16:47:32,2023-02-25 16:50:22,University Ave & 57th St,423.0,Ellis Ave & 60th St,426.0,41.7915,-87.5999,41.7851,-87.6011,member,1978-11-24
25840,00B62D61765334AE,docked_bike,2023-01-07 09:05:36,2023-01-07 09:14:43,Franklin St & Monroe St,287.0,Ada St & Washington Blvd,346.0,41.8803,-87.6352,41.8828,-87.6612,member,1996-09-17
80174,0A339407EACFBAD2,docked_bike,2023-01-02 13:23:16,2023-01-02 13:32:25,Broadway & Sheridan Rd,256.0,Southport Ave & Roscoe St,229.0,41.9528,-87.65,41.9437,-87.664,member,1992-09-14
336295,E61F8AC9FE291A20,docked_bike,2023-03-10 06:09:00,2023-03-10 06:17:05,Millennium Park,90.0,Michigan Ave & Oak St,85.0,41.881,-87.6241,41.901,-87.6238,member,1982-04-07
100106,6036AF99D6595A94,docked_bike,2023-01-27 04:34:21,2023-01-27 04:38:59,Larrabee St & Kingsbury St,48.0,Kingsbury St & Kinzie St,133.0,41.8978,-87.6429,41.8892,-87.6385,member,1993-01-25
364359,F9C7A3D8671D4F1C,docked_bike,2023-03-09 09:24:48,2023-03-09 09:44:59,Clark St & Berwyn Ave,463.0,Southport Ave & Roscoe St,229.0,41.978,-87.668,41.9437,-87.664,casual,
200625,4074664082DA15C0,docked_bike,2023-02-16 23:51:50,2023-02-17 00:16:24,Ashland Ave & Lake St,119.0,Wood St & 35th St,369.0,41.8859,-87.6672,41.8301,-87.6703,member,2006-05-20
115009,544501DB643736DC,docked_bike,2023-01-02 11:48:48,2023-01-02 11:51:36,Clark St & Berwyn Ave,463.0,Clark St & Bryn Mawr Ave,460.0,41.978,-87.668,41.9836,-87.6692,member,1991-02-26
414452,959A12070C00B064,docked_bike,2023-03-14 08:46:02,2023-03-14 09:00:25,Clinton St & 18th St,170.0,Blue Island Ave & 18th St,129.0,41.858,-87.6408,41.8576,-87.6615,casual,
415923,D3F0DFA9B29975F3,docked_bike,2023-03-14 11:55:08,2023-03-14 12:07:00,Daley Center Plaza,81.0,Wabash Ave & 16th St,72.0,41.8842,-87.6296,41.8604,-87.6258,member,1999-05-16
367336,BD2C6B8B80BAF556,docked_bike,2023-03-14 02:10:12,2023-03-14 02:17:42,McClurg Ct & Illinois St,26.0,LaSalle St & Adams St,40.0,41.8904,-87.6175,41.8793,-87.632,member,1997-10-18
79650,E4564A8353E99314,docked_bike,2023-01-22 10:10:44,2023-01-22 10:21:04,University Ave & 57th St,423.0,Prairie Ave & Garfield Blvd,204.0,41.7915,-87.5999,41.7949,-87.6187,member,2003-10-04
325005,4F099A38AE79812D,docked_bike,2023-03-12 02:30:44,2023-03-12 02:43:55,Indiana Ave & Roosevelt Rd,255.0,Franklin St & Monroe St,287.0,41.8679,-87.623,41.8803,-87.6352,member,2000-01-06
251395,E43D458FDEE5F4A2,docked_bike,2023-02-27 07:38:16,2023-02-27 07:50:01,Wells St & Concord Ln,289.0,Franklin St & Lake St,164.0,41.9121,-87.6347,41.8858,-87.6355,member,1990-12-25
302927,CBD836B5AE83ED77,docked_bike,2023-03-07 12:07:31,2023-03-07 12:12:18,Milwaukee Ave & Grand Ave,84.0,Kingsbury St & Erie St,74.0,41.8916,-87.6484,41.8938,-87.6417,member,2001-09-20
146722,5AB1281277092183,docked_bike,2023-02-09 04:27:23,2023-02-09 04:43:42,Aberdeen St & Randolph St,621.0,Clinton St & Roosevelt Rd,57.0,41.8841,-87.6543,41.8671,-87.6411,member,1980-10-12
300844,F4359E4CF621E465,docked_bike,2023-03-26 11:27:05,2023-03-26 11:53:44,Desplaines St & Kinzie St,56.0,Lake Shore Dr & North Blvd,268.0,41.8887,-87.6444,41.9117,-87.6268,member,2002-03-01
179521,97F67003E7F11F84,docked_bike,2023-02-14 05:35:54,2023-02-14 05:44:35,Wilton Ave & Belmont Ave,117.0,Broadway & Waveland Ave,304.0,41.9402,-87.653,41.9491,-87.6486,member,1990-11-21
417246,D600206B90D5AB19,docked_bike,2023-03-05 11:36:57,2023-03-05 11:43:35,Michigan Ave & Ida B Wells Dr,45.0,Columbus Dr & Randolph St,195.0,41.8762,-87.6244,41.8847,-87.6195,member,1987-12-27
232107,E2BB35295F9A340E,docked_bike,2023-02-06 00:59:49,2023-02-06 01:07:49,Larrabee St & Kingsbury St,48.0,Clinton St & Washington Blvd,91.0,41.8978,-87.6429,41.8834,-87.6412,member,1971-07-06
393936,A7DE48CF824251A0,docked_bike,2023-03-04 05:14:49,2023-03-04 05:22:47,Canal St & Adams St,192.0,State St & Randolph St,44.0,41.8793,-87.6399,41.8847,-87.6277,member,1969-01-10
186068,D0DB16138030226F,docked_bike,2023-02-21 11:53:58,2023-02-21 11:58:46,Larrabee St & Division St,359.0,Sedgwick St & North Ave,118.0,41.9035,-87.6434,41.9114,-87.6387,member,1983-12-16
353904,253825C32D1DE117,docked_bike,2023-03-10 07:17:41,2023-03-10 07:21:57,Wells St & Walton St,46.0,Clark St & Chicago Ave,337.0,41.8999,-87.6344,41.8968,-87.6309,member,2005-05-25
290170,6ADCCD0569761426,docked_bike,2023-03-11 10:47:51,2023-03-11 11:00:57,Wabash Ave & Adams St,39.0,Halsted St & Polk St,108.0,41.8795,-87.6257,41.8718,-87.6466,member,1997-04-16
199184,F11EAB97D3308B0C,docked_bike,2023-02-25 05:37:22,2023-02-25 05:41:25,Stetson Ave & South Water St,264.0,Daley Center Plaza,81.0,41.8868,-87.6223,41.8842,-87.6296,member,1985-01-24
162496,D2932422D41CF681,docked_bike,2023-02-22 08:11:35,2023-02-22 08:34:37,Loomis St & Lexington St,320.0,Field Museum,97.0,41.8722,-87.6615,41.8653,-87.6179,member,2003-01-09
194097,0EA8043229173E24,docked_bike,2023-02-21 10:13:11,2023-02-21 10:41:08,Wolcott Ave & Polk St,342.0,Damen Ave & Cortland St,219.0,41.8713,-87.6737,41.916,-87.6773,member,1984-08-11
16800,9E78E5174E9D9C30,docked_bike,2023-01-31 02:23:34,2023-01-31 02:30:48,LaSalle Dr & Huron St,627.0,Clark St & Schiller St,301.0,41.8949,-87.6323,41.908,-87.6315,member,2003-12-29
148806,86DC34362DB26D34,docked_bike,2023-02-05 01:32:36,2023-02-05 01:54:58,Halsted St & Dickens Ave,225.0,Clinton St & Washington Blvd,91.0,41.9199,-87.6488,41.8834,-87.6412,member,1987-12-05
265465,E44C098459F0266F,docked_bike,2023-02-21 10:59:54,2023-02-21 11:00:01,Rush St & Hubbard St,125.0,Rush St & Hubbard St,125.0,41.8902,-87.6262,41.8902,-87.6262,member,1981-08-02
343500,5F7486DD7CFC414F,docked_bike,2023-03-26 09:07:06,2023-03-26 09:15:57,Sedgwick St & Huron St,111.0,Columbus Dr & Randolph St,195.0,41.8947,-87.6384,41.8847,-87.6195,member,1976-04-10
250246,4E0DB10FDB529DF4,docked_bike,2023-02-20 09:19:02,2023-02-20 09:25:25,Clinton St & Washington Blvd,91.0,Kingsbury St & Erie St,74.0,41.8834,-87.6412,41.8938,-87.6417,member,1988-07-12
93482,9584BEB2FD40316A,docked_bike,2023-01-28 01:29:15,2023-01-28 01:31:26,Canal St & Jackson Blvd,75.0,Canal St & Harrison St,169.0,41.8772,-87.6394,41.8743,-87.6396,member,1994-04-13
286056,E52FF83F810444AF,docked_bike,2023-03-26 09:38:58,2023-03-26 10:39:55,Dusable Harbor,6.0,Damen Ave & Coulter St,167.0,41.887,-87.6128,41.8492,-87.6756,casual,
304137,23232EA6A751D0AF,docked_bike,2023-03-26 12:30:08,2023-03-26 12:48:12,Pine Grove Ave & Irving Park Rd,254.0,Lake Shore Dr & Diversey Pkwy,329.0,41.9544,-87.648,41.9326,-87.6364,member,1993-11-08
375183,18A99A7E8652E045,docked_bike,2023-03-13 11:15:15,2023-03-13 11:18:58,University Ave & 57th St,423.0,Lake Park Ave & 56th St,345.0,41.7915,-87.5999,41.7932,-87.5878,member,2006-04-27
113876,7EE47EF839A64B31,docked_bike,2023-01-30 00:10:53,2023-01-30 00:16:27,Paulina St & 18th St,205.0,Wood St & Taylor St,317.0,41.8579,-87.6687,41.8692,-87.671,member,1979-04-24
112155,017A38C03050A813,docked_bike,2023-01-20 08:05:31,2023-01-20 08:08:56,Racine Ave & Wrightwood Ave,343.0,Sheffield Ave & Fullerton Ave,67.0,41.9289,-87.659,41.9256,-87.6537,member,2003-05-21
157923,4C09A9F6E496CFA4,docked_bike,2023-02-16 15:30:46,2023-02-16 15:42:11,Western Ave & Winnebago Ave,116.0,Western Ave & Roscoe St,493.0,41.9155,-87.687,41.943,-87.6873,member,1990-11-27
306800,25F5283F18F1AEE0,docked_bike,2023-03-06 11:23:21,2023-03-06 11:33:18,Michigan Ave & Jackson Blvd,284.0,Wabash Ave & Roosevelt Rd,59.0,41.8779,-87.6241,41.8672,-87.626,casual,
214475,E0D70A9EF4F55B59,docked_bike,2023-02-18 02:03:54,2023-02-18 02:17:30,California Ave & Milwaukee Ave,123.0,Elston Ave & Wabansia Ave,315.0,41.9227,-87.6972,41.9129,-87.6642,member,1999-10-15
329182,9B4FECC1B3186B27,docked_bike,2023-03-03 03:41:40,2023-03-03 03:52:31,Clinton St & Washington Blvd,91.0,900 W Harrison St,109.0,41.8834,-87.6412,41.8748,-87.6498,member,1984-02-19
104564,F6878E6B048AFAC3,docked_bike,2023-01-16 01:16:21,2023-01-16 01:32:24,Rockwell St & Eastwood Ave,478.0,Western Ave & Roscoe St,493.0,41.9659,-87.6936,41.943,-87.6873,member,1995-03-12
241022,C9A03DBAFDE339E7,docked_bike,2023-02-09 04:29:38,2023-02-09 04:41:34,Racine Ave & Belmont Ave,226.0,Greenview Ave & Fullerton Ave,188.0,41.9397,-87.6589,41.9253,-87.6658,casual,
3922,118320B5C03E4816,docked_bike,2023-01-26 07:56:02,2023-01-26 08:05:44,Peoria St & Jackson Blvd,134.0,Morgan St & 18th St,14.0,41.8776,-87.6496,41.8581,-87.6511,member,1988-06-01
202554,9922975CEA16FFD1,docked_bike,2023-02-26 08:13:15,2023-02-26 08:13:17,HQ QR,675.0,HQ QR,675.0,41.8899,-87.6803,41.8899,-87.6803,casual,
238678,0BEBE0A8CD09D994,docked_bike,2023-02-14 12:05:05,2023-02-14 12:14:02,Halsted St & Polk St,108.0,Clinton St & 18th St,170.0,41.8718,-87.6466,41.858,-87.6408,member,2003-06-14
221702,69D8BEC38DC457F3,docked_bike,2023-02-19 00:06:14,2023-02-19 00:20:05,Wells St & 19th St,218.0,Clinton St & Madison St,77.0,41.8568,-87.6339,41.8822,-87.6411,member,1990-07-15
164905,762B25F33D74CA31,docked_bike,2023-02-13 10:16:52,2023-02-13 10:24:04,Dearborn St & Monroe St,49.0,Columbus Dr & Randolph St,195.0,41.8813,-87.6295,41.8847,-87.6195,member,1984-05-15
177342,86A595146F2DD320,docked_bike,2023-02-17 11:20:44,2023-02-17 11:26:37,Campbell Ave & North Ave,160.0,Damen Ave & Pierce Ave,69.0,41.9105,-87.6896,41.9094,-87.6777,member,1966-12-22
326061,DAE10140D83D3C0A,docked_bike,2023-03-09 11:03:52,2023-03-09 12:01:07,Racine Ave & Belmont Ave,226.0,Wilton Ave & Belmont Ave,117.0,41.9397,-87.6589,41.9402,-87.653,casual,
196217,07D64D5E56FB7121,docked_bike,2023-02-03 02:24:43,2023-02-03 02:38:02,Kingsbury St & Erie St,74.0,LaSalle St & Adams St,40.0,41.8938,-87.6417,41.8793,-87.632,member,2003-06-14
273958,78BB77987D084345,docked_bike,2023-02-18 07:28:03,2023-02-18 07:33:22,Bissell St & Armitage Ave,113.0,Sheffield Ave & Kingsbury St,20.0,41.9184,-87.6522,41.9105,-87.6531,member,1955-09-03
333329,37D1FF31692E06DC,docked_bike,2023-03-10 01:30:23,2023-03-10 01:53:18,Damen Ave & Pierce Ave,69.0,Orleans St & Merchandise Mart Plaza,100.0,41.9094,-87.6777,41.8882,-87.6364,member,2005-01-03
385256,CDA469882EA323F2,docked_bike,2023-03-14 13:43:25,2023-03-14 13:48:46,900 W Harrison St,109.0,Throop (Loomis) St & Taylor St,19.0,41.8748,-87.6498,41.869,-87.6591,member,1995-02-02
269746,D4583463BE52F0CB,docked_bike,2023-02-03 02:01:29,2023-02-03 02:11:31,Kingsbury St & Erie St,74.0,Franklin St & Monroe St,287.0,41.8938,-87.6417,41.8803,-87.6352,member,1997-09-09
57159,CEEB5F05F1AAB5D0,docked_bike,2023-01-05 12:31:10,2023-01-05 12:50:11,Clark St & Elm St,176.0,Greenview Ave & Diversey Pkwy,319.0,41.903,-87.6313,41.9326,-87.6659,member,1995-08-12
20834,5657CB6CA7168AE9,docked_bike,2023-01-29 10:50:32,2023-01-29 10:58:47,Orleans St & Chestnut St (NEXT Apts),620.0,Ogden Ave & Race Ave,186.0,41.8982,-87.6375,41.8918,-87.6588,member,1985-03-29
195484,17A445E99AD0359F,docked_bike,2023-02-07 09:35:33,2023-02-07 09:43:58,Rhodes Ave & 32nd St,263.0,Wentworth Ave & 33rd St,403.0,41.8362,-87.6135,41.8345,-87.6318,member,1999-05-07
321467,798AAF2F2707E55E,docked_bike,2023-04-01 01:33:08,2023-04-01 01:43:52,Lake Shore Dr & Diversey Pkwy,329.0,Clark St & North Ave,126.0,41.9326,-87.6364,41.912,-87.6319,member,2004-11-15
233414,E6094B42F2E2F426,docked_bike,2023-02-26 04:35:22,2023-02-26 04:41:13,Franklin St & Adams St (Temp),286.0,Orleans St & Merchandise Mart Plaza,100.0,41.8794,-87.6355,41.8882,-87.6364,member,2002-03-24
259608,55A5C5BCB6497E50,docked_bike,2023-02-07 10:57:14,2023-02-07 11:11:48,Sheffield Ave & Willow St,93.0,Lincoln Ave & Roscoe St,230.0,41.9137,-87.6529,41.9433,-87.671,member,2001-03-27
366249,7862A1059081A570,docked_bike,2023-03-12 10:48:18,2023-03-12 10:54:22,Wabash Ave & Adams St,39.0,Canal St & Adams St,192.0,41.8795,-87.6257,41.8793,-87.6399,member,1995-04-10
100356,FF5D22EF8A3EBDF0,docked_bike,2023-01-10 09:03:52,2023-01-10 09:08:07,Clarendon Ave & Gordon Ter,312.0,Broadway & Waveland Ave,304.0,41.9579,-87.6495,41.9491,-87.6486,member,1993-10-15
95471,8273D9BF39D97631,docked_bike,2023-01-17 02:00:27,2023-01-17 02:35:51,Woodlawn Ave & Lake Park Ave,413.0,Franklin St & Monroe St,287.0,41.8141,-87.597,41.8803,-87.6352,member,1993-05-01
292792,FD86DEFC129A751C,docked_bike,2023-03-20 04:27:34,2023-03-20 04:46:10,Lakeview Ave & Fullerton Pkwy,313.0,Dearborn St & Erie St,110.0,41.9259,-87.639,41.894,-87.6293,casual,
5715,781A5ABCAC2AFB33,docked_bike,2023-01-07 10:06:36,2023-01-07 10:18:18,Columbus Dr & Randolph St,195.0,Canal St & Madison St,174.0,41.8847,-87.6195,41.8821,-87.6398,member,1978-02-11
256952,89F13F97DB5426E6,docked_bike,2023-02-13 02:50:23,2023-02-13 02:59:33,Desplaines St & Kinzie St,56.0,Franklin St & Adams St (Temp),286.0,41.8887,-87.6444,41.8794,-87.6355,member,1993-09-16
354495,9C042BFE8DAEB728,docked_bike,2023-03-13 11:21:24,2023-03-13 11:29:13,Milwaukee Ave & Wabansia Ave,158.0,Honore St & Division St,17.0,41.9126,-87.6814,41.9031,-87.6739,member,1998-09-11
375886,656003EBCA147CFD,docked_bike,2023-03-03 12:50:04,2023-03-03 12:58:48,Morgan St & Lake St,71.0,Rush St & Hubbard St,125.0,41.8855,-87.6523,41.8902,-87.6262,member,2005-08-28
418546,5DA263E3BEE6AB3E,docked_bike,2023-03-09 02:18:52,2023-03-09 02:20:30,Halsted St & Wrightwood Ave,349.0,Clark St & Wrightwood Ave,340.0,41.9291,-87.6491,41.9295,-87.6431,member,1990-02-10
305153,68CE9FEE22AAC3E8,docked_bike,2023-03-06 13:47:35,2023-03-06 13:52:21,Dearborn St & Erie St,110.0,Kingsbury St & Kinzie St,133.0,41.894,-87.6293,41.8892,-87.6385,member,1968-08-21
259588,03F25A0AC65F341F,docked_bike,2023-02-08 02:21:54,2023-02-08 02:55:48,Ravenswood Ave & Lawrence Ave,344.0,Wood St & Hubbard St,285.0,41.9691,-87.6742,41.8899,-87.6715,member,1991-05-10
112496,92B94BE1D7E84B92,docked_bike,2023-01-29 15:43:48,2023-01-29 15:46:35,Southport Ave & Waveland Ave,227.0,Ashland Ave & Grace St,347.0,41.9482,-87.6639,41.9507,-87.6687,member,2005-02-01
112430,82BD15E39E83424C,docked_bike,2023-01-06 10:22:13,2023-01-06 10:43:26,State St & Kinzie St,47.0,Clark St & Armitage Ave,94.0,41.8892,-87.6278,41.9183,-87.6363,member,1988-08-12
247477,8EC4A209075211DD,docked_bike,2023-02-16 11:04:39,2023-02-16 11:15:54,Wells St & Hubbard St,212.0,Mies van der Rohe Way & Chestnut St,145.0,41.8899,-87.6343,41.8986,-87.6219,member,1982-02-15
15193,46D8179D3014D203,docked_bike,2023-01-07 10:53:54,2023-01-07 10:58:31,Franklin St & Monroe St,287.0,Clinton St & Madison St,77.0,41.8803,-87.6352,41.8822,-87.6411,member,1993-12-14
145525,4DD176E4858C6A01,docked_bike,2023-02-09 02:18:08,2023-02-09 02:29:06,Lincoln Ave & Addison St,330.0,Ravenswood Ave & Lawrence Ave,344.0,41.9462,-87.6733,41.9691,-87.6742,member,1980-08-19
14038,7C99F49A0917D700,docked_bike,2023-01-07 09:33:48,2023-01-07 09:34:14,Mies van der Rohe Way & Chicago Ave,173.0,Mies van der Rohe Way & Chicago Ave,173.0,41.8969,-87.6217,41.8969,-87.6217,member,1990-06-27
395610,0F58964FDAD4C785,docked_bike,2023-03-17 05:05:02,2023-03-17 05:22:00,Halsted St & Dickens Ave,225.0,Halsted St & Dickens Ave,225.0,41.9199,-87.6488,41.9199,-87.6488,member,1977-12-08
299516,55D66A62DCB0F33F,docked_bike,2023-03-15 01:43:36,2023-03-15 01:58:38,Western Ave & Granville Ave,452.0,Warren Park West,450.0,41.9942,-87.6894,42.0018,-87.6888,member,1982-11-01
259852,748A54309D7CCCB9,docked_bike,2023-02-08 13:33:52,2023-02-08 14:14:31,Fairbanks Ct & Grand Ave,24.0,St. Clair St & Erie St,211.0,41.8918,-87.6206,41.8944,-87.6227,member,2005-01-23
24811,DAE7D3E24D176E8D,docked_bike,2023-01-16 08:53:10,2023-01-16 09:03:39,Southport Ave & Clybourn Ave,307.0,Sedgwick St & Webster Ave,143.0,41.9208,-87.6637,41.9222,-87.6389,casual,
193144,8686EA9C1D4AB382,docked_bike,2023-02-16 06:30:20,2023-02-16 06:44:21,Racine Ave & Randolph St,88.0,Clinton St & Jackson Blvd,638.0,41.8841,-87.6569,41.8781,-87.6398,casual,
