player_name,gender,current_team,games_played,runs_scored,innings,not_outs,balls_faced,fours,sixes,high_score,balls_bowled,runs_conceded,best_bowling,extras,catches,POMs
BAM Heath,female,Northern Superchargers,20,178,19,2.0,128,25,4,57.0,0,0,,0,8,1
AN Davidson-Richards,female,Northern Superchargers,21,189,17,8.0,179,14,2,42.0,338,514,20-4,20,7,3
L Harris,female,Welsh Fire,13,138,11,1.0,77,20,6,37.0,0,0,,0,5,0
LCN Smith,female,Northern Superchargers,20,50,9,6.0,45,4,0,17.0,371,425,16-3,8,5,0
EA Russell,female,Northern Superchargers,8,1,1,1.0,1,0,0,1.0,105,142,25-1,5,4,0
PC Graham,female,Manchester Originals,7,1,1,1.0,1,0,0,1.0,85,146,19-1,4,1,0
KA Levick,female,Birmingham Phoenix,19,4,2,2.0,4,0,0,2.0,350,379,10-2,9,1,0
J Gardner,female,Trent Rockets,15,82,11,2.0,64,6,3,17.0,5,10,,2,10,0
CM Taylor,female,Southern Brave,3,0,0,,0,0,0,,35,65,19-1,2,0,0
E Windsor,female,Welsh Fire,12,18,4,3.0,24,2,0,13.0,0,0,,0,3,0
TT Beaumont,female,Welsh Fire,19,530,19,1.0,412,78,6,118.0,0,0,,0,8,1
HL Baker,female,Birmingham Phoenix,14,10,7,3.0,12,1,0,5.0,195,236,19-2,14,2,0
K Moore,female,Southern Brave,12,11,2,,13,1,0,11.0,188,225,9-2,6,1,0
E Gray,female,Oval Invincibles,17,21,4,1.0,19,1,1,16.0,198,246,14-2,3,3,0
GK Davis,female,Trent Rockets,9,3,1,1.0,2,0,0,3.0,55,67,29-2,6,0,0
N Harman,female,London Spirit,4,0,0,,0,0,0,,0,0,,0,2,0
S Munro,female,London Spirit,11,11,4,1.0,11,1,0,5.0,90,141,20-2,13,3,0
PA Franklin,female,Birmingham Phoenix,5,17,3,1.0,17,1,0,7.0,40,79,20-1,3,4,0
N Brown,female,Manchester Originals,4,0,0,,0,0,0,,28,40,1-0,3,2,0
HE Jones,female,Manchester Originals,10,2,1,,4,0,0,2.0,170,201,18-3,7,3,0
R Slater,female,Northern Superchargers,3,0,0,,0,0,0,,20,42,13-0,2,0,0
G Scrivens,female,London Spirit,11,89,7,3.0,102,7,0,26.0,83,97,11-2,1,0,0
SL Kalis,female,Birmingham Phoenix,5,55,4,2.0,49,7,0,20.0,0,0,,0,2,0
BA Langston,female,Northern Superchargers,5,0,1,1.0,1,0,0,0.0,69,119,22-0,7,0,0
AE Dyson,female,Manchester Originals,2,0,0,,0,0,0,,15,31,,0,0,0
GH Lewis,female,Northern Superchargers,3,25,3,,35,3,1,16.0,0,0,,0,3,0
NAJ Wraith,female,London Spirit,3,4,2,2.0,5,0,0,3.0,0,0,,0,1,0
M Kelly,female,Northern Superchargers,16,220,14,1.0,184,30,1,69.0,5,6,,0,5,1
AJ Healy,female,Northern Superchargers,6,129,6,,85,22,3,46.0,0,0,,0,1,0
JL Gunn,female,Northern Superchargers,6,29,3,3.0,15,5,0,15.0,75,124,24-2,0,3,0
SW Bates,female,Oval Invincibles,14,367,14,1.0,316,41,6,79.0,0,0,,0,9,2
KM Chathli,female,Oval Invincibles,10,6,4,,19,0,0,3.0,0,0,,0,2,0
KE White,female,Oval Invincibles,3,10,2,1.0,7,0,1,9.0,0,0,,0,1,0
R MacDonald-Gay,female,Oval Invincibles,14,21,3,1.0,17,0,2,19.0,146,221,18-5,17,2,1
Sophia Smale,female,Oval Invincibles,14,12,2,1.0,11,2,0,7.0,230,255,26-3,3,5,0
BL Mooney,female,London Spirit,6,205,6,2.0,132,32,1,97.0,0,0,,0,2,1
AC Kerr,female,London Spirit,11,235,11,3.0,186,29,0,60.0,194,254,16-4,2,5,0
ML Schutt,female,London Spirit,6,3,1,,7,0,0,3.0,106,137,18-2,7,3,0
FG Kemp,female,Southern Brave,15,123,13,3.0,97,9,5,41.0,70,119,21-1,4,2,0
M Strano,female,Southern Brave,1,0,0,,0,0,0,,20,34,34-0,3,0,0
EJ Villani,female,Trent Rockets,7,182,7,1.0,154,28,1,55.0,0,0,,0,4,1
A King,female,Trent Rockets,14,46,10,4.0,40,1,3,19.0,265,284,15-4,10,4,1
AE Satterthwaite,female,Manchester Originals,4,24,3,,34,3,0,13.0,0,0,,0,1,0
A Campbell,female,Manchester Originals,10,97,8,1.0,134,8,0,28.0,0,0,,0,0,0
G Potts,female,Trent Rockets,6,4,1,1.0,4,0,0,4.0,55,78,,3,1,0
SFM Devine,female,Birmingham Phoenix,12,290,12,,213,35,9,53.0,89,140,18-1,10,4,0
EA Perry,female,Birmingham Phoenix,6,134,6,2.0,98,17,2,58.0,0,0,,0,6,1
S Molineux,female,Birmingham Phoenix,6,65,5,1.0,55,5,1,29.0,112,110,11-2,4,2,1
RL Haynes,female,Welsh Fire,4,35,4,,34,4,1,14.0,0,0,,0,3,0
A Sutherland,female,Welsh Fire,6,88,6,1.0,73,5,3,34.0,92,130,8-1,15,5,0
L Filer,female,London Spirit,11,54,6,3.0,39,4,2,21.0,156,213,14-1,15,2,0
C Nicholas,female,Welsh Fire,13,5,4,2.0,10,0,0,3.0,201,250,18-2,8,5,0
TM McGrath,female,Southern Brave,7,70,6,,75,9,0,31.0,84,121,36-2,9,4,1
A Cranstone,female,Oval Invincibles,1,18,1,,21,2,0,18.0,0,0,,0,0,0
LMM Tahuhu,female,Manchester Originals,2,1,1,,1,0,0,1.0,25,60,26-0,0,1,0
NJ Carey,female,Welsh Fire,4,76,4,,67,9,0,28.0,60,92,19-3,4,1,1
ML Green,female,Welsh Fire,1,10,1,,13,1,0,10.0,0,0,,0,0,0
G Ballinger,female,Northern Superchargers,10,1,1,1.0,4,0,0,1.0,125,155,28-3,9,0,0
RA Fackrell,female,Birmingham Phoenix,1,2,1,,2,0,0,2.0,20,19,19-1,2,0,0
D Mullan,female,Manchester Originals,1,9,1,,10,1,0,9.0,0,0,,0,0,0
OJ Pope,male,Welsh Fire,2,10,2,,14,1,0,10.0,0,0,,0,0,0
A Zampa,male,Oval Invincibles,7,26,3,2.0,24,3,0,14.0,130,159,19-2,3,2,0
Noor Ahmad,male,Welsh Fire,1,9,1,1.0,4,0,1,9.0,15,32,32-0,2,0,0
MP Stoinis,male,Southern Brave,5,59,5,1.0,53,4,2,37.0,55,89,12-1,8,2,0
JK Fuller,male,Southern Brave,13,62,7,1.0,55,7,0,25.0,200,286,20-2,10,4,0
Rehan Ahmed,male,Southern Brave,12,37,5,3.0,36,4,0,33.0,182,216,22-3,2,1,0
MG Hogan,male,Southern Brave,7,2,2,1.0,4,0,0,2.0,110,188,20-2,6,0,0
GJ Maxwell,male,London Spirit,4,116,4,1.0,77,16,3,43.0,25,16,6-1,0,4,0
KA Pollard,male,London Spirit,6,113,5,4.0,68,6,7,34.0,5,5,,0,3,0
NT Ellis,male,London Spirit,16,10,5,3.0,19,0,0,5.0,282,429,28-3,15,8,1
JM Cox,male,Oval Invincibles,13,359,11,2.0,250,38,9,73.0,0,0,,0,12,1
HWR Cartwright,male,Oval Invincibles,5,62,4,1.0,47,4,2,42.0,0,0,,0,6,0
Mohammad Hasnain,male,Oval Invincibles,5,11,1,1.0,4,1,1,11.0,70,138,30-2,23,0,0
WL Madsen,male,Manchester Originals,10,157,9,2.0,129,14,1,53.0,0,0,,0,3,0
AD Russell,male,Manchester Originals,6,148,6,2.0,88,9,12,64.0,75,137,7-1,7,5,1
PI Walter,male,Manchester Originals,17,184,15,2.0,119,13,10,28.0,205,281,20-3,6,6,0
AJ Turner,male,Manchester Originals,12,148,11,4.0,92,10,6,26.0,5,7,7-1,0,7,0
SA Abbott,male,Manchester Originals,5,11,2,,11,0,1,10.0,79,149,9-4,12,8,1
F du Plessis,male,Northern Superchargers,8,134,8,,99,11,7,56.0,0,0,,0,2,0
MS Pepper,male,London Spirit,8,81,7,1.0,67,11,1,21.0,0,0,,0,2,0
AJ Hose,male,Northern Superchargers,15,301,13,2.0,193,30,12,59.0,0,0,,0,2,0
DJ Bravo,male,Northern Superchargers,6,27,4,2.0,25,3,0,19.0,120,182,29-3,8,1,0
DR Mousley,male,Birmingham Phoenix,7,54,7,,55,4,1,15.0,14,18,1-1,1,2,0
GL van Buuren,male,Birmingham Phoenix,1,1,1,1.0,2,0,0,1.0,10,28,28-0,0,1,0
KW Richardson,male,Birmingham Phoenix,13,23,6,3.0,21,2,1,9.0,199,292,32-4,7,3,2
DR Sams,male,Trent Rockets,16,233,11,2.0,128,17,15,55.0,291,491,27-4,21,5,0
RR Rossouw,male,Oval Invincibles,6,70,6,,62,7,2,24.0,0,0,,0,3,0
DA Miller,male,Welsh Fire,7,73,7,1.0,80,2,2,35.0,0,0,,0,3,0
GLS Scrimshaw,male,Welsh Fire,4,5,1,1.0,3,1,0,5.0,70,128,23-2,1,1,0
T Stubbs,male,Manchester Originals,9,157,9,1.0,107,7,11,46.0,75,114,6-2,2,9,0
