match_id,date,home_team,away_team,city,venue,competition,toss_winner,toss_decision,bat_first,winner,by
49,2021-08-04,Oval Invincibles,Birmingham Phoenix,Birmingham,"Edgbaston, Birmingham",female,Birmingham Phoenix,bat,Birmingham Phoenix,Oval Invincibles,8 wickets
50,2021-08-05,Manchester Originals,Southern Brave,Manchester,"Old Trafford, Manchester",female,Manchester Originals,field,Southern Brave,Manchester Originals,17 runs
51,2021-08-06,Trent Rockets,Welsh Fire,Cardiff,"Sophia Gardens, Cardiff",female,Trent Rockets,field,Welsh Fire,Trent Rockets,4 wickets
52,2021-08-07,Southern Brave,Northern Superchargers,Southampton,"The Rose Bowl, Southampton",female,Southern Brave,field,Northern Superchargers,Southern Brave,7 wickets
53,2021-08-09,Birmingham Phoenix,Welsh Fire,Birmingham,"Edgbaston, Birmingham",female,Birmingham Phoenix,field,Welsh Fire,Birmingham Phoenix,10 wickets
54,2021-08-10,London Spirit,Manchester Originals,Manchester,"Old Trafford, Manchester",female,Manchester Originals,bat,Manchester Originals,London Spirit,5 wickets
55,2021-08-11,Welsh Fire,Southern Brave,Southampton,"The Rose Bowl, Southampton",female,Welsh Fire,field,Southern Brave,Southern Brave,39 runs
56,2021-08-12,Manchester Originals,Northern Superchargers,Leeds,"Headingley, Leeds",female,Manchester Originals,field,Northern Superchargers,Manchester Originals,8 wickets
57,2021-08-13,Birmingham Phoenix,Trent Rockets,Nottingham,"Trent Bridge, Nottingham",female,Birmingham Phoenix,field,Trent Rockets,Birmingham Phoenix,3 wickets
58,2021-08-14,Oval Invincibles,London Spirit,London,"Kennington Oval, London",female,Oval Invincibles,field,London Spirit,Oval Invincibles,8 wickets
59,2021-08-15,Manchester Originals,Trent Rockets,Nottingham,"Trent Bridge, Nottingham",female,Manchester Originals,field,Trent Rockets,Manchester Originals,9 wickets
60,2021-08-16,Oval Invincibles,Southern Brave,Southampton,"The Rose Bowl, Southampton",female,Oval Invincibles,field,Southern Brave,Southern Brave,30 runs
61,2021-08-17,Northern Superchargers,Birmingham Phoenix,Leeds,"Headingley, Leeds",female,Northern Superchargers,field,Birmingham Phoenix,Birmingham Phoenix,14 runs
62,2021-08-18,London Spirit,Welsh Fire,Cardiff,"Sophia Gardens, Cardiff",female,London Spirit,field,Welsh Fire,London Spirit,7 wickets
63,2021-08-20,Birmingham Phoenix,Oval Invincibles,London,"Kennington Oval, London",female,Birmingham Phoenix,field,Oval Invincibles,Oval Invincibles,20 runs
64,2021-08-21,Southern Brave,Oval Invincibles,London,"Lord's, London",female,Southern Brave,field,Oval Invincibles,Oval Invincibles,48 runs
65,2022-08-11,Oval Invincibles,Northern Superchargers,London,"Kennington Oval, London",female,Oval Invincibles,field,Northern Superchargers,Oval Invincibles,9 wickets
66,2022-08-12,Southern Brave,London Spirit,Southampton,"The Rose Bowl, Southampton",female,London Spirit,bat,London Spirit,Southern Brave,6 wickets
67,2022-08-13,Manchester Originals,Trent Rockets,Manchester,"Old Trafford, Manchester",female,Manchester Originals,field,Trent Rockets,Trent Rockets,43 runs
68,2022-08-13,Welsh Fire,Birmingham Phoenix,Cardiff,"Sophia Gardens, Cardiff",female,Welsh Fire,field,Birmingham Phoenix,Birmingham Phoenix,19 runs
69,2022-08-14,London Spirit,Northern Superchargers,Leeds,"Headingley, Leeds",female,London Spirit,field,Northern Superchargers,Northern Superchargers,5 runs
70,2022-08-14,Oval Invincibles,Southern Brave,London,"Kennington Oval, London",female,Oval Invincibles,field,Southern Brave,Southern Brave,12 runs
71,2022-08-15,Birmingham Phoenix,Trent Rockets,Birmingham,"Edgbaston, Birmingham",female,Birmingham Phoenix,field,Trent Rockets,Birmingham Phoenix,8 wickets
72,2022-08-16,Welsh Fire,Manchester Originals,Manchester,"Old Trafford, Manchester",female,Welsh Fire,field,Manchester Originals,Manchester Originals,11 runs
73,2022-08-17,Oval Invincibles,Trent Rockets,Nottingham,"Trent Bridge, Nottingham",female,Oval Invincibles,field,Trent Rockets,Oval Invincibles,5 wickets
74,2022-08-18,Manchester Originals,Southern Brave,Southampton,"The Rose Bowl, Southampton",female,Manchester Originals,field,Southern Brave,Southern Brave,9 runs
75,2022-08-19,Northern Superchargers,Birmingham Phoenix,Birmingham,"Edgbaston, Birmingham",female,Northern Superchargers,field,Birmingham Phoenix,Birmingham Phoenix,5 runs
76,2022-08-20,London Spirit,Trent Rockets,Nottingham,"Trent Bridge, Nottingham",female,London Spirit,field,Trent Rockets,Trent Rockets,18 runs
77,2022-08-21,Northern Superchargers,Manchester Originals,Leeds,"Headingley, Leeds",female,Manchester Originals,bat,Manchester Originals,Northern Superchargers,7 wickets
78,2022-08-22,Welsh Fire,Southern Brave,Cardiff,"Sophia Gardens, Cardiff",female,Welsh Fire,field,Southern Brave,Southern Brave,14 runs
79,2022-08-23,Oval Invincibles,Birmingham Phoenix,London,"Kennington Oval, London",female,Oval Invincibles,field,Birmingham Phoenix,Oval Invincibles,8 wickets
80,2022-08-24,London Spirit,Welsh Fire,London,"Lord's, London",female,Welsh Fire,bat,Welsh Fire,London Spirit,8 wickets
81,2022-08-25,Southern Brave,Trent Rockets,Southampton,"The Rose Bowl, Southampton",female,Southern Brave,field,Trent Rockets,Southern Brave,10 wickets
82,2022-08-26,Northern Superchargers,Welsh Fire,Cardiff,"Sophia Gardens, Cardiff",female,Welsh Fire,bat,Welsh Fire,Welsh Fire,11 runs
83,2022-08-27,Oval Invincibles,London Spirit,London,"Lord's, London",female,Oval Invincibles,field,London Spirit,Oval Invincibles,9 wickets
84,2022-08-28,Birmingham Phoenix,Manchester Originals,Birmingham,"Edgbaston, Birmingham",female,Birmingham Phoenix,field,Manchester Originals,Manchester Originals,18 runs
85,2022-08-29,Trent Rockets,Welsh Fire,Nottingham,"Trent Bridge, Nottingham",female,Welsh Fire,bat,Welsh Fire,Trent Rockets,8 wickets
86,2022-08-30,London Spirit,Birmingham Phoenix,London,"Lord's, London",female,London Spirit,field,Birmingham Phoenix,London Spirit,4 wickets
87,2022-08-31,Southern Brave,Northern Superchargers,Leeds,"Headingley, Leeds",female,Southern Brave,field,Northern Superchargers,Northern Superchargers,20 runs
88,2022-08-31,Manchester Originals,Oval Invincibles,Manchester,"Old Trafford, Manchester",female,Oval Invincibles,bat,Oval Invincibles,Oval Invincibles,32 runs
89,2022-09-02,Trent Rockets,Southern Brave,Southampton,"The Rose Bowl, Southampton",female,Trent Rockets,field,Southern Brave,Southern Brave,2 runs
90,2022-09-03,Oval Invincibles,Southern Brave,London,"Lord's, London",female,Southern Brave,bat,Southern Brave,Oval Invincibles,5 wickets
91,2022-08-03,Southern Brave,Welsh Fire,Southampton,"The Rose Bowl, Southampton",male,Southern Brave,field,Welsh Fire,Southern Brave,9 wickets
92,2022-08-04,Oval Invincibles,London Spirit,London,"Kennington Oval, London",male,Oval Invincibles,field,London Spirit,London Spirit,3 runs
93,2022-08-05,Northern Superchargers,Manchester Originals,Manchester,"Old Trafford, Manchester",male,Northern Superchargers,field,Manchester Originals,Northern Superchargers,6 wickets
94,2022-08-06,Trent Rockets,Birmingham Phoenix,Nottingham,"Trent Bridge, Nottingham",male,Trent Rockets,field,Birmingham Phoenix,Trent Rockets,6 wickets
95,2022-08-07,Welsh Fire,Oval Invincibles,Cardiff,"Sophia Gardens, Cardiff",male,Welsh Fire,field,Oval Invincibles,Oval Invincibles,39 runs
96,2022-08-08,Manchester Originals,London Spirit,London,"Lord's, London",male,London Spirit,bat,London Spirit,London Spirit,52 runs
97,2022-08-09,Trent Rockets,Northern Superchargers,Leeds,"Headingley, Leeds",male,Trent Rockets,field,Northern Superchargers,Trent Rockets,7 wickets
98,2022-08-10,Southern Brave,Birmingham Phoenix,Birmingham,"Edgbaston, Birmingham",male,Southern Brave,field,Birmingham Phoenix,Birmingham Phoenix,53 runs
99,2022-08-11,Oval Invincibles,Northern Superchargers,London,"Kennington Oval, London",male,Oval Invincibles,field,Northern Superchargers,Oval Invincibles,3 wickets
100,2022-08-12,Southern Brave,London Spirit,Southampton,"The Rose Bowl, Southampton",male,London Spirit,bat,London Spirit,London Spirit,9 runs
101,2022-08-13,Trent Rockets,Manchester Originals,Manchester,"Old Trafford, Manchester",male,Trent Rockets,field,Manchester Originals,Trent Rockets,8 wickets
102,2022-08-13,Welsh Fire,Birmingham Phoenix,Cardiff,"Sophia Gardens, Cardiff",male,Welsh Fire,field,Birmingham Phoenix,Birmingham Phoenix,4 runs
103,2022-08-14,London Spirit,Northern Superchargers,Leeds,"Headingley, Leeds",male,Northern Superchargers,bat,Northern Superchargers,London Spirit,7 wickets
104,2022-08-14,Oval Invincibles,Southern Brave,London,"Kennington Oval, London",male,Oval Invincibles,field,Southern Brave,Oval Invincibles,7 wickets
105,2022-08-15,Birmingham Phoenix,Trent Rockets,Birmingham,"Edgbaston, Birmingham",male,Birmingham Phoenix,field,Trent Rockets,Birmingham Phoenix,7 wickets
106,2022-08-16,Welsh Fire,Manchester Originals,Manchester,"Old Trafford, Manchester",male,Welsh Fire,field,Manchester Originals,Manchester Originals,47 runs
107,2022-08-17,Oval Invincibles,Trent Rockets,Nottingham,"Trent Bridge, Nottingham",male,Oval Invincibles,field,Trent Rockets,Trent Rockets,25 runs
108,2022-08-18,Southern Brave,Manchester Originals,Southampton,"The Rose Bowl, Southampton",male,Southern Brave,field,Manchester Originals,Manchester Originals,68 runs
109,2022-08-19,Birmingham Phoenix,Northern Superchargers,Birmingham,"Edgbaston, Birmingham",male,Birmingham Phoenix,field,Northern Superchargers,Northern Superchargers,32 runs
110,2022-08-20,Trent Rockets,London Spirit,Nottingham,"Trent Bridge, Nottingham",male,Trent Rockets,field,London Spirit,Trent Rockets,6 wickets
111,2022-08-21,Northern Superchargers,Manchester Originals,Leeds,"Headingley, Leeds",male,Northern Superchargers,field,Manchester Originals,Manchester Originals,23 runs
112,2022-08-22,Southern Brave,Welsh Fire,Cardiff,"Sophia Gardens, Cardiff",male,Southern Brave,field,Welsh Fire,Southern Brave,9 wickets
113,2022-08-23,Oval Invincibles,Birmingham Phoenix,London,"Kennington Oval, London",male,Oval Invincibles,field,Birmingham Phoenix,Birmingham Phoenix,10 runs
114,2022-08-24,Welsh Fire,London Spirit,London,"Lord's, London",male,Welsh Fire,field,London Spirit,London Spirit,17 runs
115,2022-08-25,Southern Brave,Trent Rockets,Southampton,"The Rose Bowl, Southampton",male,Southern Brave,field,Trent Rockets,Southern Brave,6 wickets
116,2022-08-26,Northern Superchargers,Welsh Fire,Cardiff,"Sophia Gardens, Cardiff",male,Welsh Fire,bat,Welsh Fire,Northern Superchargers,6 wickets
117,2022-08-27,Oval Invincibles,London Spirit,London,"Lord's, London",male,London Spirit,bat,London Spirit,Oval Invincibles,6 wickets
118,2022-08-28,Birmingham Phoenix,Manchester Originals,Birmingham,"Edgbaston, Birmingham",male,Manchester Originals,bat,Manchester Originals,Manchester Originals,79 runs
119,2022-08-29,Welsh Fire,Trent Rockets,Nottingham,"Trent Bridge, Nottingham",male,Welsh Fire,field,Trent Rockets,Trent Rockets,29 runs
120,2022-08-30,Birmingham Phoenix,London Spirit,London,"Lord's, London",male,Birmingham Phoenix,field,London Spirit,Birmingham Phoenix,1 wickets
121,2022-08-31,Southern Brave,Northern Superchargers,Leeds,"Headingley, Leeds",male,Southern Brave,field,Northern Superchargers,Northern Superchargers,16 runs
122,2022-08-31,Manchester Originals,Oval Invincibles,Manchester,"Old Trafford, Manchester",male,Oval Invincibles,bat,Oval Invincibles,Manchester Originals,6 wickets
123,2022-09-02,Manchester Originals,London Spirit,Southampton,"The Rose Bowl, Southampton",male,London Spirit,bat,London Spirit,Manchester Originals,5 wickets
124,2022-09-03,Trent Rockets,Manchester Originals,London,"Lord's, London",male,Manchester Originals,bat,Manchester Originals,Trent Rockets,2 wickets
125,2023-08-01,Trent Rockets,Southern Brave,Nottingham,"Trent Bridge, Nottingham",female,Trent Rockets,field,Southern Brave,Southern Brave,27 runs
126,2023-08-03,Northern Superchargers,Birmingham Phoenix,Leeds,"Headingley, Leeds",female,Northern Superchargers,field,Birmingham Phoenix,Northern Superchargers,7 wickets
127,2023-08-04,Southern Brave,Welsh Fire,Southampton,"The Rose Bowl, Southampton",female,Southern Brave,field,Welsh Fire,Welsh Fire,4 runs
128,2023-08-06,Southern Brave,Northern Superchargers,Southampton,"The Rose Bowl, Southampton",female,Southern Brave,field,Northern Superchargers,Southern Brave,5 wickets
129,2023-08-06,Welsh Fire,Oval Invincibles,London,"Kennington Oval, London",female,Welsh Fire,field,Oval Invincibles,Welsh Fire,3 wickets
130,2023-08-07,Manchester Originals,Birmingham Phoenix,Manchester,"Old Trafford, Manchester",female,Manchester Originals,field,Birmingham Phoenix,Manchester Originals,5 wickets
131,2023-08-08,Southern Brave,London Spirit,London,"Lord's, London",female,Southern Brave,field,London Spirit,Southern Brave,5 wickets
132,2023-08-09,Trent Rockets,Northern Superchargers,Nottingham,"Trent Bridge, Nottingham",female,Northern Superchargers,bat,Northern Superchargers,Northern Superchargers,9 runs
133,2023-08-09,Manchester Originals,Oval Invincibles,London,"Kennington Oval, London",female,Manchester Originals,field,Oval Invincibles,Oval Invincibles,5 runs
134,2023-08-10,Birmingham Phoenix,Welsh Fire,Birmingham,"Edgbaston, Birmingham",female,Birmingham Phoenix,field,Welsh Fire,Welsh Fire,3 runs
135,2023-08-11,Oval Invincibles,Northern Superchargers,Leeds,"Headingley, Leeds",female,Northern Superchargers,bat,Northern Superchargers,Northern Superchargers,14 runs
136,2023-08-12,Trent Rockets,London Spirit,London,"Lord's, London",female,Trent Rockets,field,London Spirit,Trent Rockets,5 wickets
137,2023-08-12,Southern Brave,Welsh Fire,Cardiff,"Sophia Gardens, Cardiff",female,Southern Brave,field,Welsh Fire,Southern Brave,2 wickets
138,2023-08-13,Manchester Originals,Northern Superchargers,Leeds,"Headingley, Leeds",female,Northern Superchargers,bat,Northern Superchargers,Northern Superchargers,4 runs
139,2023-08-13,Birmingham Phoenix,Oval Invincibles,Birmingham,"Edgbaston, Birmingham",female,Birmingham Phoenix,field,Oval Invincibles,Oval Invincibles,10 runs
140,2023-08-14,Trent Rockets,Welsh Fire,Cardiff,"Sophia Gardens, Cardiff",female,Welsh Fire,bat,Welsh Fire,Welsh Fire,41 runs
141,2023-08-15,Oval Invincibles,London Spirit,London,"Kennington Oval, London",female,Oval Invincibles,field,London Spirit,London Spirit,21 runs
142,2023-08-16,Birmingham Phoenix,Southern Brave,Southampton,"The Rose Bowl, Southampton",female,Southern Brave,bat,Southern Brave,Southern Brave,3 runs
143,2023-08-17,Trent Rockets,Manchester Originals,Nottingham,"Trent Bridge, Nottingham",female,Manchester Originals,bat,Manchester Originals,Trent Rockets,9 wickets
144,2023-08-18,Northern Superchargers,London Spirit,London,"Lord's, London",female,Northern Superchargers,field,London Spirit,Northern Superchargers,4 wickets
145,2023-08-19,Birmingham Phoenix,Trent Rockets,Nottingham,"Trent Bridge, Nottingham",female,Trent Rockets,bat,Trent Rockets,Trent Rockets,3 runs
146,2023-08-19,Southern Brave,Oval Invincibles,Southampton,"The Rose Bowl, Southampton",female,Oval Invincibles,bat,Oval Invincibles,Southern Brave,7 wickets
147,2023-08-20,Manchester Originals,Northern Superchargers,Manchester,"Old Trafford, Manchester",female,Northern Superchargers,bat,Northern Superchargers,Manchester Originals,3 wickets
148,2023-08-20,London Spirit,Welsh Fire,Cardiff,"Sophia Gardens, Cardiff",female,London Spirit,field,Welsh Fire,Welsh Fire,23 runs
149,2023-08-21,Trent Rockets,Oval Invincibles,London,"Kennington Oval, London",female,Oval Invincibles,bat,Oval Invincibles,Oval Invincibles,3 runs
150,2023-08-22,Welsh Fire,Northern Superchargers,Leeds,"Headingley, Leeds",female,Northern Superchargers,bat,Northern Superchargers,Northern Superchargers,16 runs
151,2023-08-23,Southern Brave,Manchester Originals,Manchester,"Old Trafford, Manchester",female,Southern Brave,field,Manchester Originals,Southern Brave,8 wickets
152,2023-08-24,Birmingham Phoenix,London Spirit,Birmingham,"Edgbaston, Birmingham",female,Birmingham Phoenix,field,London Spirit,London Spirit,73 runs
153,2023-08-26,Northern Superchargers,Welsh Fire,London,"Kennington Oval, London",female,Welsh Fire,bat,Welsh Fire,,no result
154,2023-08-27,Northern Superchargers,Southern Brave,London,"Lord's, London",female,Northern Superchargers,field,Southern Brave,Southern Brave,34 runs
155,2023-08-01,Southern Brave,Trent Rockets,Nottingham,"Trent Bridge, Nottingham",male,Southern Brave,field,Trent Rockets,Trent Rockets,6 runs
156,2023-08-02,Manchester Originals,Welsh Fire,Cardiff,"Sophia Gardens, Cardiff",male,Manchester Originals,field,Welsh Fire,Welsh Fire,9 runs
157,2023-08-02,Oval Invincibles,London Spirit,London,"Lord's, London",male,Oval Invincibles,field,London Spirit,Oval Invincibles,3 wickets
158,2023-08-03,Northern Superchargers,Birmingham Phoenix,Leeds,"Headingley, Leeds",male,Northern Superchargers,field,Birmingham Phoenix,,no result
159,2023-08-04,Welsh Fire,Southern Brave,Southampton,"The Rose Bowl, Southampton",male,Welsh Fire,field,Southern Brave,Southern Brave,2 runs
160,2023-08-05,London Spirit,Manchester Originals,Manchester,"Old Trafford, Manchester",male,London Spirit,field,Manchester Originals,,no result
161,2023-08-06,Southern Brave,Northern Superchargers,Southampton,"The Rose Bowl, Southampton",male,Southern Brave,field,Northern Superchargers,Northern Superchargers,60 runs
162,2023-08-06,Oval Invincibles,Welsh Fire,London,"Kennington Oval, London",male,Welsh Fire,bat,Welsh Fire,,no result
163,2023-08-07,Birmingham Phoenix,Manchester Originals,Manchester,"Old Trafford, Manchester",male,Birmingham Phoenix,field,Manchester Originals,Manchester Originals,49 runs
164,2023-08-08,London Spirit,Southern Brave,London,"Lord's, London",male,London Spirit,field,Southern Brave,,no result
165,2023-08-09,Trent Rockets,Northern Superchargers,Nottingham,"Trent Bridge, Nottingham",male,Trent Rockets,field,Northern Superchargers,Northern Superchargers,3 runs
166,2023-08-09,Manchester Originals,Oval Invincibles,London,"Kennington Oval, London",male,Manchester Originals,field,Oval Invincibles,Oval Invincibles,94 runs
167,2023-08-10,Welsh Fire,Birmingham Phoenix,Birmingham,"Edgbaston, Birmingham",male,Birmingham Phoenix,bat,Birmingham Phoenix,Welsh Fire,6 wickets
168,2023-08-11,Northern Superchargers,Oval Invincibles,Leeds,"Headingley, Leeds",male,Oval Invincibles,bat,Oval Invincibles,Oval Invincibles,9 runs
169,2023-08-12,Trent Rockets,London Spirit,London,"Lord's, London",male,Trent Rockets,field,London Spirit,London Spirit,2 runs
170,2023-08-12,Southern Brave,Welsh Fire,Cardiff,"Sophia Gardens, Cardiff",male,Southern Brave,field,Welsh Fire,Southern Brave,9 wickets
171,2023-08-13,Northern Superchargers,Manchester Originals,Leeds,"Headingley, Leeds",male,Manchester Originals,bat,Manchester Originals,Manchester Originals,40 runs
172,2023-08-13,Oval Invincibles,Birmingham Phoenix,Birmingham,"Edgbaston, Birmingham",male,Oval Invincibles,field,Birmingham Phoenix,Birmingham Phoenix,41 runs
173,2023-08-14,Welsh Fire,Trent Rockets,Cardiff,"Sophia Gardens, Cardiff",male,Welsh Fire,field,Trent Rockets,Trent Rockets,4 runs
174,2023-08-15,London Spirit,Oval Invincibles,London,"Kennington Oval, London",male,Oval Invincibles,bat,Oval Invincibles,Oval Invincibles,2 runs
175,2023-08-16,Southern Brave,Birmingham Phoenix,Southampton,"The Rose Bowl, Southampton",male,Birmingham Phoenix,bat,Birmingham Phoenix,Southern Brave,4 wickets
176,2023-08-17,Trent Rockets,Manchester Originals,Nottingham,"Trent Bridge, Nottingham",male,Trent Rockets,field,Manchester Originals,Manchester Originals,10 runs
177,2023-08-18,Northern Superchargers,London Spirit,London,"Lord's, London",male,Northern Superchargers,field,London Spirit,London Spirit,13 runs
178,2023-08-19,Birmingham Phoenix,Trent Rockets,Nottingham,"Trent Bridge, Nottingham",male,Birmingham Phoenix,field,Trent Rockets,Trent Rockets,46 runs
179,2023-08-19,Southern Brave,Oval Invincibles,Southampton,"The Rose Bowl, Southampton",male,Oval Invincibles,bat,Oval Invincibles,Oval Invincibles,8 runs
180,2023-08-20,Northern Superchargers,Manchester Originals,Manchester,"Old Trafford, Manchester",male,Manchester Originals,bat,Manchester Originals,Manchester Originals,81 runs
