player_name,gender,current_team,games_played,runs_scored,innings,not_outs,balls_faced,fours,sixes,high_score,balls_bowled,runs_conceded,wickets_taken,extras,catches,POMs,bowler,sets
GH Lewis,female,Northern Superchargers,3,25,3,,35,3,1,16.0,0,0,0.0,0,3,0,,
NAJ Wraith,female,London Spirit,3,4,2,2.0,5,0,0,3.0,0,0,0.0,0,1,0,,
M Kelly,female,Northern Superchargers,18,220,15,1.0,186,30,1,69.0,5,6,0.0,0,6,1,M Kelly,1.0
AJ Healy,female,Northern Superchargers,6,129,6,,85,22,3,46.0,0,0,0.0,0,1,0,,
JL Gunn,female,Northern Superchargers,6,29,3,3.0,15,5,0,15.0,75,119,4.0,0,3,0,JL Gunn,15.0
SW Bates,female,Oval Invincibles,14,367,14,1.0,316,41,6,79.0,0,0,0.0,0,9,2,,
KM Chathli,female,Oval Invincibles,10,6,4,,19,0,0,3.0,0,0,0.0,0,2,0,,
KE White,female,Oval Invincibles,3,10,2,1.0,7,0,1,9.0,0,0,0.0,0,1,0,,
R MacDonald-Gay,female,Oval Invincibles,14,21,3,1.0,17,0,2,19.0,146,218,15.0,17,2,1,R MacDonald-Gay,29.2
Sophia Smale,female,Oval Invincibles,14,12,2,1.0,11,2,0,7.0,230,254,15.0,3,5,0,Sophia Smale,46.0
BL Mooney,female,London Spirit,6,205,6,2.0,132,32,1,97.0,0,0,0.0,0,2,1,,
AC Kerr,female,London Spirit,12,252,12,3.0,203,30,0,60.0,210,263,23.0,2,7,0,AC Kerr,42.0
ML Schutt,female,London Spirit,6,3,1,,7,0,0,3.0,106,131,6.0,7,3,0,ML Schutt,21.2
FG Kemp,female,Southern Brave,17,154,14,3.0,114,14,5,41.0,70,112,1.0,4,3,0,FG Kemp,14.0
M Strano,female,Southern Brave,1,0,0,,0,0,0,,20,33,0.0,3,0,0,M Strano,4.0
EJ Villani,female,Trent Rockets,7,182,7,1.0,154,28,1,55.0,0,0,0.0,0,4,1,,
A King,female,Trent Rockets,14,46,10,4.0,40,1,3,19.0,265,281,14.0,10,4,1,A King,53.0
AE Satterthwaite,female,Manchester Originals,4,24,3,,34,3,0,13.0,0,0,0.0,0,1,0,,
A Campbell,female,Manchester Originals,10,97,8,1.0,134,8,0,28.0,0,0,0.0,0,0,0,,
G Potts,female,Trent Rockets,6,4,1,1.0,4,0,0,4.0,55,82,0.0,3,1,0,G Potts,11.0
SFM Devine,female,Birmingham Phoenix,13,294,13,,216,36,9,53.0,99,159,4.0,10,5,0,SFM Devine,19.8
EA Perry,female,Birmingham Phoenix,6,134,6,2.0,98,17,2,58.0,0,0,0.0,0,6,1,,
S Molineux,female,Birmingham Phoenix,6,65,5,1.0,55,5,1,29.0,112,111,7.0,4,2,1,S Molineux,22.4
RL Haynes,female,Welsh Fire,4,35,4,,34,4,1,14.0,0,0,0.0,0,3,0,,
A Sutherland,female,Welsh Fire,6,88,6,1.0,73,5,3,34.0,92,135,4.0,15,5,0,A Sutherland,18.4
L Filer,female,London Spirit,12,54,6,3.0,39,4,2,21.0,161,231,4.0,19,2,0,L Filer,32.2
C Nicholas,female,Welsh Fire,14,5,4,2.0,10,0,0,3.0,201,253,9.0,8,5,0,C Nicholas,40.2
TM McGrath,female,Southern Brave,7,70,6,,75,9,0,31.0,84,118,4.0,9,4,1,TM McGrath,16.8
A Cranstone,female,Oval Invincibles,1,18,1,,21,2,0,18.0,0,0,0.0,0,0,0,,
LMM Tahuhu,female,Manchester Originals,2,1,1,,1,0,0,1.0,25,60,0.0,0,1,0,LMM Tahuhu,5.0
NJ Carey,female,Welsh Fire,4,76,4,,67,9,0,28.0,60,89,4.0,4,1,1,NJ Carey,12.0
ML Green,female,Welsh Fire,1,10,1,,13,1,0,10.0,0,0,0.0,0,0,0,,
G Ballinger,female,Northern Superchargers,12,1,2,1.0,6,0,0,1.0,165,203,7.0,9,0,0,G Ballinger,33.0
RA Fackrell,female,Birmingham Phoenix,1,2,1,,2,0,0,2.0,20,19,1.0,2,0,0,RA Fackrell,4.0
D Mullan,female,Manchester Originals,1,9,1,,10,1,0,9.0,0,0,0.0,0,0,0,,
OJ Pope,male,Welsh Fire,2,10,2,,14,1,0,10.0,0,0,0.0,0,0,0,,
A Zampa,male,Oval Invincibles,7,26,3,2.0,24,3,0,14.0,130,153,10.0,3,2,0,A Zampa,26.0
Noor Ahmad,male,Welsh Fire,1,9,1,1.0,4,0,1,9.0,15,31,0.0,2,0,0,Noor Ahmad,3.0
MP Stoinis,male,Southern Brave,5,59,5,1.0,53,4,2,37.0,55,84,2.0,8,2,0,MP Stoinis,11.0
JK Fuller,male,Southern Brave,13,62,7,1.0,55,7,0,25.0,200,279,11.0,10,4,0,JK Fuller,40.0
Rehan Ahmed,male,Southern Brave,14,37,5,3.0,36,4,0,33.0,222,265,12.0,2,2,0,Rehan Ahmed,44.4
MG Hogan,male,Southern Brave,7,2,2,1.0,4,0,0,2.0,110,185,7.0,6,0,0,MG Hogan,22.0
GJ Maxwell,male,London Spirit,4,116,4,1.0,77,16,3,43.0,25,16,2.0,0,4,0,GJ Maxwell,5.0
KA Pollard,male,London Spirit,6,113,5,4.0,68,6,7,34.0,5,5,0.0,0,3,0,KA Pollard,1.0
NT Ellis,male,London Spirit,16,10,5,3.0,19,0,0,5.0,282,424,15.0,15,8,1,NT Ellis,56.4
JM Cox,male,Oval Invincibles,13,359,11,2.0,250,38,9,73.0,0,0,0.0,0,12,1,,
HWR Cartwright,male,Oval Invincibles,5,62,4,1.0,47,4,2,42.0,0,0,0.0,0,6,0,,
Mohammad Hasnain,male,Oval Invincibles,5,11,1,1.0,4,1,1,11.0,70,132,6.0,23,0,0,Mohammad Hasnain,14.0
WL Madsen,male,Manchester Originals,13,183,11,2.0,148,16,2,53.0,0,0,0.0,0,3,0,,
AD Russell,male,Manchester Originals,6,148,6,2.0,88,9,12,64.0,75,133,4.0,7,5,1,AD Russell,15.0
PI Walter,male,Manchester Originals,20,203,17,2.0,143,15,10,28.0,245,334,22.0,7,8,0,PI Walter,49.0
AJ Turner,male,Manchester Originals,13,153,12,5.0,96,10,6,26.0,20,31,2.0,0,7,0,AJ Turner,4.0
SA Abbott,male,Manchester Originals,5,11,2,,11,0,1,10.0,79,148,6.0,12,8,1,SA Abbott,15.8
F du Plessis,male,Northern Superchargers,8,134,8,,99,11,7,56.0,0,0,0.0,0,2,0,,
MS Pepper,male,London Spirit,9,81,8,1.0,68,11,1,21.0,0,0,0.0,0,3,0,,
AJ Hose,male,Northern Superchargers,16,316,14,2.0,205,33,12,59.0,0,0,0.0,0,3,0,,
DJ Bravo,male,Northern Superchargers,6,27,4,2.0,25,3,0,19.0,120,182,9.0,8,1,0,DJ Bravo,24.0
DR Mousley,male,Birmingham Phoenix,7,54,7,,55,4,1,15.0,14,18,1.0,1,2,0,DR Mousley,2.8
GL van Buuren,male,Birmingham Phoenix,1,1,1,1.0,2,0,0,1.0,10,28,0.0,0,1,0,GL van Buuren,2.0
KW Richardson,male,Birmingham Phoenix,14,23,6,3.0,21,2,1,9.0,209,300,19.0,7,3,2,KW Richardson,41.8
DR Sams,male,Trent Rockets,16,233,11,2.0,128,17,15,55.0,291,485,20.0,21,5,0,DR Sams,58.2
RR Rossouw,male,Oval Invincibles,6,70,6,,62,7,2,24.0,0,0,0.0,0,3,0,,
DA Miller,male,Welsh Fire,7,73,7,1.0,80,2,2,35.0,0,0,0.0,0,3,0,,
GLS Scrimshaw,male,Welsh Fire,4,5,1,1.0,3,1,0,5.0,70,123,4.0,1,1,0,GLS Scrimshaw,14.0
T Stubbs,male,Manchester Originals,9,157,9,1.0,107,7,11,46.0,75,109,4.0,2,9,0,T Stubbs,15.0
MS Wade,male,London Spirit,15,291,13,1.0,192,29,10,81.0,0,0,0.0,0,5,1,,
HJH Brookes,male,Birmingham Phoenix,6,4,3,2.0,6,0,0,2.0,95,159,6.0,5,6,0,HJH Brookes,19.0
CN Miles,male,Northern Superchargers,6,1,1,1.0,2,0,0,1.0,74,135,4.0,11,3,0,CN Miles,14.8
JA Haynes,male,Oval Invincibles,1,2,1,,2,0,0,2.0,0,0,0.0,0,1,0,,
D Pretorius,male,Welsh Fire,5,71,4,1.0,40,6,5,29.0,85,135,4.0,6,3,0,D Pretorius,17.0
MT Stanley,male,Manchester Originals,3,0,0,,0,0,0,,45,83,1.0,0,0,0,MT Stanley,9.0
D Moriarty,male,Southern Brave,1,1,1,,3,0,0,1.0,20,28,0.0,1,0,0,D Moriarty,4.0
BR McDermott,male,London Spirit,5,157,5,,118,12,6,59.0,0,0,0.0,0,1,0,,
J Little,male,Manchester Originals,12,6,3,2.0,8,1,0,5.0,192,271,21.0,16,1,1,J Little,38.4
JG Bethell,male,Birmingham Phoenix,3,10,3,,13,1,0,10.0,0,0,0.0,0,0,0,,
S Baker,male,Southern Brave,3,0,1,,2,0,0,0.0,45,75,2.0,5,0,0,S Baker,9.0
IS Sodhi,male,Trent Rockets,8,2,2,1.0,4,0,0,1.0,147,207,8.0,11,2,0,IS Sodhi,29.4
WD Parnell,male,Northern Superchargers,9,50,5,3.0,34,4,2,14.0,155,249,12.0,1,0,1,WD Parnell,31.0
P Hatzoglou,male,Oval Invincibles,2,1,1,1.0,1,0,0,1.0,35,60,2.0,13,0,0,P Hatzoglou,7.0
BL D'Oliveira,male,Birmingham Phoenix,2,10,2,,22,0,0,8.0,10,10,0.0,0,0,0,BL D'Oliveira,2.0
BJ Dwarshuis,male,Birmingham Phoenix,1,0,1,,2,0,0,0.0,15,22,0.0,2,0,0,BJ Dwarshuis,3.0
SG Budinger,male,Birmingham Phoenix,1,0,1,,1,0,0,0.0,0,0,0.0,0,0,0,,
T Sangha,male,Birmingham Phoenix,4,15,2,2.0,11,1,1,13.0,70,88,6.0,8,0,0,T Sangha,14.0
RJ Gleeson,male,Manchester Originals,8,8,2,1.0,10,1,0,8.0,138,227,8.0,14,0,0,RJ Gleeson,27.6
M Brown,female,Southern Brave,9,33,6,5.0,27,4,0,15.0,35,74,1.0,6,1,0,M Brown,7.0
MLL Taylor,female,Southern Brave,2,0,0,,0,0,0,,35,43,3.0,0,0,0,MLL Taylor,7.0
R Southby,female,Southern Brave,9,0,0,,0,0,0,,0,0,0.0,0,4,1,,
A Stonehouse,female,Trent Rockets,7,16,1,1.0,7,3,0,16.0,121,179,4.0,24,1,0,A Stonehouse,24.2
T Flintoff,female,Birmingham Phoenix,7,89,6,,93,8,0,55.0,90,124,3.0,12,1,0,T Flintoff,18.0
C Pavely,female,Birmingham Phoenix,3,9,3,2.0,13,0,0,4.0,25,41,1.0,3,0,0,C Pavely,5.0
P Litchfield,female,Northern Superchargers,10,279,9,1.0,210,38,3,68.0,0,0,0.0,0,6,2,,
G Wareham,female,Northern Superchargers,10,80,8,5.0,68,7,0,19.0,195,218,13.0,7,7,0,G Wareham,39.0
L Dobson,female,Northern Superchargers,5,4,2,,13,0,0,3.0,5,6,0.0,0,2,0,L Dobson,1.0
PJ Scholfield,female,Oval Invincibles,7,78,7,,61,7,3,30.0,120,163,9.0,6,7,0,PJ Scholfield,24.0
LE Scott,female,Oval Invincibles,1,7,1,1.0,11,1,0,7.0,5,9,0.0,0,0,0,LE Scott,1.0
M Gaur,female,Manchester Originals,6,0,1,1.0,1,0,0,0.0,100,123,4.0,5,1,0,M Gaur,20.0
GM Harris,female,London Spirit,6,114,6,,76,17,2,87.0,0,0,0.0,0,6,1,,
RM Ghosh,female,London Spirit,6,107,6,,93,12,2,34.0,0,0,0.0,0,6,0,,
N Holland,female,London Spirit,3,9,3,1.0,13,1,0,7.0,0,0,0.0,0,0,0,,
EM McCaughan,female,Welsh Fire,2,2,1,,2,0,0,2.0,0,0,0.0,0,0,0,,
CM McCarthy,female,Trent Rockets,2,0,0,,0,0,0,,20,33,0.0,4,0,0,CM McCarthy,4.0
C Brewer,female,Birmingham Phoenix,1,0,0,,0,0,0,,10,26,0.0,1,0,0,C Brewer,2.0
N de Klerk,female,Oval Invincibles,2,56,2,1.0,30,9,1,51.0,35,55,2.0,2,0,1,N de Klerk,7.0
Imad Wasim,male,Trent Rockets,2,27,2,1.0,26,3,0,26.0,35,27,2.0,0,1,0,Imad Wasim,7.0
LWP Wells,male,Welsh Fire,7,109,7,1.0,67,12,5,57.0,35,61,1.0,6,0,1,LWP Wells,7.0
SS Eskinazi,male,Welsh Fire,8,208,8,1.0,134,19,8,58.0,0,0,0.0,0,2,1,,
BGF Green,male,Welsh Fire,5,51,3,,42,1,3,25.0,40,50,2.0,2,3,0,BGF Green,8.0
Shaheen Shah Afridi,male,Welsh Fire,6,5,2,2.0,7,0,0,3.0,100,126,6.0,1,1,0,Shaheen Shah Afridi,20.0
Haris Rauf,male,Welsh Fire,6,0,1,,1,0,0,0.0,100,125,6.0,4,1,0,Haris Rauf,20.0
MDE Holden,male,Manchester Originals,8,154,8,,97,18,4,37.0,0,0,0.0,0,0,0,,
J Overton,male,Manchester Originals,10,202,9,4.0,111,17,12,83.0,85,114,3.0,4,6,1,J Overton,17.0
Usama Mir,male,Manchester Originals,6,41,4,2.0,23,6,1,32.0,80,139,6.0,8,0,1,Usama Mir,16.0
JC Tongue,male,Manchester Originals,5,0,0,,0,0,0,,76,125,7.0,6,2,0,JC Tongue,15.2
DJ Mitchell,male,London Spirit,8,136,6,1.0,104,10,4,57.0,41,77,3.0,3,3,0,DJ Mitchell,8.2
DJ Worrall,male,London Spirit,7,0,1,1.0,1,0,0,0.0,121,151,9.0,11,1,0,DJ Worrall,24.2
H Klaasen,male,Oval Invincibles,7,189,7,1.0,106,6,17,60.0,0,0,0.0,0,3,1,,
AAP Atkinson,male,Oval Invincibles,6,3,1,1.0,4,0,0,3.0,115,172,10.0,14,1,0,AAP Atkinson,23.0
ZJ Chappell,male,Oval Invincibles,4,0,1,,1,0,0,0.0,55,98,7.0,4,0,0,ZJ Chappell,11.0
JL Smith,male,Birmingham Phoenix,7,191,7,,119,15,11,60.0,0,0,0.0,0,4,1,,
Shadab Khan,male,Birmingham Phoenix,3,6,3,,13,0,0,4.0,35,55,1.0,0,1,0,Shadab Khan,7.0
MW Short,male,Northern Superchargers,8,150,7,,90,15,7,73.0,45,71,2.0,1,3,1,MW Short,9.0
SA Zaib,male,Northern Superchargers,6,60,4,,51,4,2,21.0,0,0,0.0,0,2,0,,
JJ Weatherley,male,Southern Brave,4,8,2,1.0,7,1,0,8.0,0,0,0.0,0,2,0,,
SH Johnson,male,Oval Invincibles,6,1,1,1.0,1,0,0,1.0,100,129,5.0,11,0,0,SH Johnson,20.0
CR Woakes,male,Birmingham Phoenix,3,20,3,1.0,20,0,1,16.0,55,71,2.0,4,0,0,CR Woakes,11.0
JA Turner,male,Trent Rockets,1,0,0,,0,0,0,,20,22,3.0,2,0,0,JA Turner,4.0
TS Muyeye,male,Oval Invincibles,3,11,2,,13,1,0,11.0,0,0,0.0,0,2,0,,
Zaman Khan,male,Manchester Originals,5,0,0,,0,0,0,,85,148,2.0,10,1,0,Zaman Khan,17.0
MJ Henry,male,Welsh Fire,2,0,0,,0,0,0,,35,27,3.0,5,1,0,MJ Henry,7.0
MJ Santner,male,Southern Brave,2,0,0,,0,0,0,,35,37,1.0,1,1,0,MJ Santner,7.0
TG Southee,male,London Spirit,1,3,1,,4,0,0,3.0,20,23,3.0,0,0,0,TG Southee,4.0
